00:02:14:13 | W | Mismatching | SEQ : 20174830530, PART : 52124713AD, SCAN TQ41977C0838, CELL [1,1]
00:48:36:09 | W | Mismatching | SEQ : 20174830880, PART : 52124713AD, SCAN TQ41977C0859, CELL [1,2]
00:48:47:37 | I | Matching ok | SEQ : 20174830880, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:49:11:75 | I | Matching ok | SEQ : 20174830870, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:49:19:07 | I | Matching ok | SEQ : 20174830860, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:49:21:10 | I | Matching ok | SEQ : 20174830850, PART : N/A, SCAN N/A, CELL [1,5]
00:49:26:87 | I | Matching ok | SEQ : 20174830840, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:49:34:17 | I | Matching ok | SEQ : 20174830950, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:49:43:79 | I | Matching ok | SEQ : 20174830940, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:49:45:83 | I | Matching ok | SEQ : 20174830930, PART : N/A, SCAN N/A, CELL [2,3]
00:49:53:43 | I | Matching ok | SEQ : 20174830920, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:50:01:37 | I | Matching ok | SEQ : 20174830910, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:50:04:72 | I | Matching ok | SEQ : 20174830900, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:59:13:29 | I | Matching ok | SEQ : 20174831010, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:59:18:18 | I | Matching ok | SEQ : 20174831000, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:59:23:24 | I | Matching ok | SEQ : 20174830990, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:59:25:26 | I | Matching ok | SEQ : 20174830980, PART : N/A, SCAN N/A, CELL [1,4]
00:59:27:30 | I | Matching ok | SEQ : 20174830970, PART : N/A, SCAN N/A, CELL [1,5]
00:59:29:33 | I | Matching ok | SEQ : 20174830960, PART : N/A, SCAN N/A, CELL [1,6]
00:59:31:34 | I | Matching ok | SEQ : 20174831070, PART : N/A, SCAN N/A, CELL [2,1]
00:59:34:71 | I | Matching ok | SEQ : 20174831060, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:59:40:74 | I | Matching ok | SEQ : 20174831050, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:59:44:39 | I | Matching ok | SEQ : 20174831040, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:59:49:38 | I | Matching ok | SEQ : 20174831030, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:59:53:74 | I | Matching ok | SEQ : 20174831020, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:11:00:43 | I | Matching ok | SEQ : 20174831130, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:11:05:45 | I | Matching ok | SEQ : 20174831120, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:11:08:55 | I | Matching ok | SEQ : 20174831110, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:11:12:13 | I | Matching ok | SEQ : 20174831100, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
01:11:16:53 | I | Matching ok | SEQ : 20174831090, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:11:18:56 | I | Matching ok | SEQ : 20174831080, PART : N/A, SCAN N/A, CELL [1,6]
01:11:20:57 | I | Matching ok | SEQ : 20174831190, PART : N/A, SCAN N/A, CELL [2,1]
01:11:22:60 | I | Matching ok | SEQ : 20174831180, PART : N/A, SCAN N/A, CELL [2,2]
01:11:26:45 | W | Mismatching | SEQ : 20174831170, PART : 04578885AC, SCAN P52124713AD, CELL [2,3]
01:11:38:78 | W | Mismatching | SEQ : 20174831170, PART : 04578885AC, SCAN P52124713AD, CELL [2,3]
01:11:46:28 | W | Mismatching | SEQ : 20174831170, PART : 04578885AC, SCAN P52124713AD, CELL [2,3]
01:12:05:43 | I | Matching ok | SEQ : 20174831170, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:12:07:90 | I | Matching ok | SEQ : 20174831160, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:12:09:93 | I | Matching ok | SEQ : 20174831150, PART : N/A, SCAN N/A, CELL [2,5]
01:12:13:35 | I | Matching ok | SEQ : 20174831140, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:12:15:44 | I | Matching ok | SEQ : 20174831250, PART : N/A, SCAN N/A, CELL [1,1]
01:23:47:64 | I | Matching ok | SEQ : 20174831240, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:23:52:02 | I | Matching ok | SEQ : 20174831230, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
01:23:55:92 | W | Mismatching | SEQ : 20174831220, PART : 04578885AC, SCAN P52124713AD, CELL [1,4]
01:24:07:30 | I | Matching ok | SEQ : 20174831220, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
01:24:11:32 | I | Matching ok | SEQ : 20174831210, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:24:16:77 | I | Matching ok | SEQ : 20174831200, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:24:27:67 | I | Matching ok | SEQ : 20174831310, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:24:36:90 | I | Matching ok | SEQ : 20174831300, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:24:40:65 | I | Matching ok | SEQ : 20174831290, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:24:52:70 | I | Matching ok | SEQ : 20174831280, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
01:24:57:25 | I | Matching ok | SEQ : 20174831270, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
01:24:59:26 | I | Matching ok | SEQ : 20174831260, PART : N/A, SCAN N/A, CELL [2,6]
01:25:01:34 | I | Matching ok | SEQ : 20174831370, PART : N/A, SCAN N/A, CELL [1,1]
01:34:46:63 | I | Matching ok | SEQ : 20174831360, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:34:50:04 | I | Matching ok | SEQ : 20174831350, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
01:34:54:61 | I | Matching ok | SEQ : 20174831340, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:34:57:34 | I | Matching ok | SEQ : 20174831330, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:35:05:14 | I | Matching ok | SEQ : 20174831320, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:35:07:15 | I | Matching ok | SEQ : 20174831430, PART : N/A, SCAN N/A, CELL [2,1]
01:35:10:66 | I | Matching ok | SEQ : 20174831420, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
01:35:13:04 | I | Matching ok | SEQ : 20174831410, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
01:35:15:19 | I | Matching ok | SEQ : 20174831400, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:35:17:20 | I | Matching ok | SEQ : 20174831390, PART : N/A, SCAN N/A, CELL [2,5]
01:35:19:46 | I | Matching ok | SEQ : 20174831380, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:46:20:41 | I | Matching ok | SEQ : 20174831490, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:46:25:48 | I | Matching ok | SEQ : 20174831480, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:46:29:73 | I | Matching ok | SEQ : 20174831470, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:46:35:25 | I | Matching ok | SEQ : 20174831460, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:46:39:10 | I | Matching ok | SEQ : 20174831450, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:46:43:00 | I | Matching ok | SEQ : 20174831440, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:46:45:02 | I | Matching ok | SEQ : 20174831550, PART : N/A, SCAN N/A, CELL [2,1]
01:46:47:05 | I | Matching ok | SEQ : 20174831540, PART : N/A, SCAN N/A, CELL [2,2]
01:46:48:10 | W | Mismatching | SEQ : 20174831530, PART : N/A, SCAN P52124713AD, CELL [2,3]
01:46:49:07 | I | Matching ok | SEQ : 20174831530, PART : N/A, SCAN N/A, CELL [2,3]
01:47:01:05 | I | Matching ok | SEQ : 20174831520, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:47:03:07 | I | Matching ok | SEQ : 20174831510, PART : N/A, SCAN N/A, CELL [2,5]
01:47:07:90 | I | Matching ok | SEQ : 20174831500, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:58:53:55 | I | Matching ok | SEQ : 20174831610, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:58:57:09 | I | Matching ok | SEQ : 20174831600, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:58:59:99 | I | Matching ok | SEQ : 20174831590, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:59:04:29 | I | Matching ok | SEQ : 20174831580, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:59:07:55 | I | Matching ok | SEQ : 20174831570, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:59:12:25 | I | Matching ok | SEQ : 20174831560, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:59:16:42 | I | Matching ok | SEQ : 20174831670, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
01:59:19:65 | I | Matching ok | SEQ : 20174831660, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:59:23:87 | I | Matching ok | SEQ : 20174831650, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:59:28:67 | I | Matching ok | SEQ : 20174831640, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
01:59:32:78 | I | Matching ok | SEQ : 20174831630, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
01:59:37:10 | I | Matching ok | SEQ : 20174831620, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
02:14:36:80 | I | Matching ok | SEQ : 20174831730, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
02:14:39:95 | I | Matching ok | SEQ : 20174831720, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
02:14:43:05 | I | Matching ok | SEQ : 20174831710, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
02:14:46:89 | I | Matching ok | SEQ : 20174831700, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
02:14:48:93 | I | Matching ok | SEQ : 20174831690, PART : N/A, SCAN N/A, CELL [1,5]
02:14:52:44 | I | Matching ok | SEQ : 20174831680, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:14:56:65 | I | Matching ok | SEQ : 20174831790, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:14:59:82 | I | Matching ok | SEQ : 20174831780, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
02:15:02:02 | I | Matching ok | SEQ : 20174831770, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
02:15:04:32 | I | Matching ok | SEQ : 20174831760, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
02:15:06:34 | I | Matching ok | SEQ : 20174831750, PART : N/A, SCAN N/A, CELL [2,5]
02:15:08:57 | I | Matching ok | SEQ : 20174831740, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
02:18:26:08 | I | Matching ok | SEQ : 20174831850, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
05:17:50:31 | I | Matching ok | SEQ : 20174831840, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
05:17:54:08 | W | Mismatching | SEQ : 20174831830, PART : 04578885AC, SCAN P52124713AD, CELL [1,3]
05:18:05:28 | I | Matching ok | SEQ : 20174831830, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
05:18:08:53 | I | Matching ok | SEQ : 20174831820, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
05:18:11:08 | I | Matching ok | SEQ : 20174831810, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
05:18:13:86 | I | Matching ok | SEQ : 20174831800, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
05:18:16:91 | I | Matching ok | SEQ : 20174831910, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:18:19:83 | I | Matching ok | SEQ : 20174831900, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
05:18:22:71 | I | Matching ok | SEQ : 20174831890, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
05:18:24:72 | I | Matching ok | SEQ : 20174831880, PART : N/A, SCAN N/A, CELL [2,4]
05:18:29:43 | W | Mismatching | SEQ : 20174831870, PART : 52124713AD, SCAN P04578885AC, CELL [2,5]
05:18:35:56 | I | Matching ok | SEQ : 20174831870, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
05:18:38:56 | I | Matching ok | SEQ : 20174831860, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
05:18:40:65 | I | Matching ok | SEQ : 20174831970, PART : N/A, SCAN N/A, CELL [1,1]
05:24:34:09 | I | Matching ok | SEQ : 20174831960, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
05:24:42:84 | I | Matching ok | SEQ : 20174831950, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
05:24:46:54 | I | Matching ok | SEQ : 20174831940, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
05:24:49:52 | I | Matching ok | SEQ : 20174831930, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
05:24:53:47 | I | Matching ok | SEQ : 20174831920, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
05:24:57:47 | I | Matching ok | SEQ : 20174832030, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:25:01:47 | I | Matching ok | SEQ : 20174832020, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
05:25:06:02 | I | Matching ok | SEQ : 20174832010, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
05:25:08:03 | I | Matching ok | SEQ : 20174832000, PART : N/A, SCAN N/A, CELL [2,4]
05:25:11:52 | I | Matching ok | SEQ : 20174831990, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
05:25:15:44 | I | Matching ok | SEQ : 20174831980, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
05:25:17:67 | I | Matching ok | SEQ : 20174832090, PART : N/A, SCAN N/A, CELL [1,1]
05:25:19:69 | I | Matching ok | SEQ : 20174832080, PART : N/A, SCAN N/A, CELL [1,2]
05:25:21:70 | I | Matching ok | SEQ : 20174832070, PART : N/A, SCAN N/A, CELL [1,3]
05:32:27:23 | I | Matching ok | SEQ : 20174832060, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
05:32:31:33 | I | Matching ok | SEQ : 20174832050, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
05:32:35:00 | I | Matching ok | SEQ : 20174832040, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
05:32:38:15 | I | Matching ok | SEQ : 20174832150, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:32:42:08 | I | Matching ok | SEQ : 20174832140, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
05:32:45:98 | I | Matching ok | SEQ : 20174832130, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
05:32:49:31 | I | Matching ok | SEQ : 20174832120, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
05:32:52:60 | I | Matching ok | SEQ : 20174832110, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
05:32:56:98 | I | Matching ok | SEQ : 20174832100, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
05:43:48:49 | I | Matching ok | SEQ : 20174832210, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
05:43:52:32 | I | Matching ok | SEQ : 20174832200, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
05:43:56:17 | I | Matching ok | SEQ : 20174832190, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
05:43:59:59 | I | Matching ok | SEQ : 20174832180, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
05:44:03:17 | I | Matching ok | SEQ : 20174832170, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
05:44:05:20 | I | Matching ok | SEQ : 20174832160, PART : N/A, SCAN N/A, CELL [1,6]
05:44:10:47 | I | Matching ok | SEQ : 20174832270, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:44:14:02 | I | Matching ok | SEQ : 20174832260, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
05:44:16:07 | I | Matching ok | SEQ : 20174832250, PART : N/A, SCAN N/A, CELL [2,3]
05:44:20:24 | I | Matching ok | SEQ : 20174832240, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
05:44:22:27 | I | Matching ok | SEQ : 20174832230, PART : N/A, SCAN N/A, CELL [2,5]
05:44:25:87 | I | Matching ok | SEQ : 20174832220, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
05:44:27:95 | I | Matching ok | SEQ : 20174832330, PART : N/A, SCAN N/A, CELL [1,1]
05:52:38:71 | I | Matching ok | SEQ : 20174832320, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
05:52:42:38 | I | Matching ok | SEQ : 20174832310, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
05:52:46:11 | I | Matching ok | SEQ : 20174832300, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
05:52:49:66 | I | Matching ok | SEQ : 20174832290, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
05:52:55:13 | I | Matching ok | SEQ : 20174832280, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
05:52:59:58 | I | Matching ok | SEQ : 20174832390, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:53:03:13 | I | Matching ok | SEQ : 20174832380, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
05:53:07:09 | I | Matching ok | SEQ : 20174832370, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
05:53:11:43 | I | Matching ok | SEQ : 20174832360, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
05:53:15:08 | I | Matching ok | SEQ : 20174832350, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
05:53:17:10 | I | Matching ok | SEQ : 20174832340, PART : N/A, SCAN N/A, CELL [2,6]
06:03:21:92 | I | Matching ok | SEQ : 20174832450, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
06:03:25:77 | I | Matching ok | SEQ : 20174832440, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
06:03:30:90 | I | Matching ok | SEQ : 20174832430, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
06:03:35:35 | I | Matching ok | SEQ : 20174832420, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
06:03:40:85 | I | Matching ok | SEQ : 20174832410, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
06:03:45:60 | I | Matching ok | SEQ : 20174832400, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
06:03:49:80 | I | Matching ok | SEQ : 20174832510, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
06:03:51:84 | I | Matching ok | SEQ : 20174832500, PART : N/A, SCAN N/A, CELL [2,2]
06:03:54:62 | I | Matching ok | SEQ : 20174832490, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
06:03:59:25 | I | Matching ok | SEQ : 20174832480, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
06:04:03:07 | I | Matching ok | SEQ : 20174832470, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
06:04:06:72 | I | Matching ok | SEQ : 20174832460, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:10:57:54 | I | Matching ok | SEQ : 20174832570, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
06:11:01:16 | I | Matching ok | SEQ : 20174832560, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
06:11:05:23 | I | Matching ok | SEQ : 20174832550, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
06:11:08:43 | I | Matching ok | SEQ : 20174832540, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
06:11:11:99 | I | Matching ok | SEQ : 20174832530, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
06:11:14:02 | I | Matching ok | SEQ : 20174832520, PART : N/A, SCAN N/A, CELL [1,6]
06:11:16:66 | I | Matching ok | SEQ : 20174832630, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:11:19:88 | I | Matching ok | SEQ : 20174832620, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
06:11:22:96 | I | Matching ok | SEQ : 20174832610, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
06:11:26:41 | I | Matching ok | SEQ : 20174832600, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
06:11:29:63 | I | Matching ok | SEQ : 20174832590, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
06:11:33:81 | I | Matching ok | SEQ : 20174832580, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
06:19:38:33 | I | Matching ok | SEQ : 20174832690, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
06:19:42:32 | I | Matching ok | SEQ : 20174832680, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
06:19:47:45 | I | Matching ok | SEQ : 20174832670, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
06:19:49:46 | I | Matching ok | SEQ : 20174832660, PART : N/A, SCAN N/A, CELL [1,4]
06:19:53:74 | I | Matching ok | SEQ : 20174832650, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
06:19:55:75 | I | Matching ok | SEQ : 20174832640, PART : N/A, SCAN N/A, CELL [1,6]
06:20:02:07 | I | Matching ok | SEQ : 20174832750, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
06:20:05:72 | I | Matching ok | SEQ : 20174832740, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
06:20:09:47 | W | Mismatching | SEQ : 20174832730, PART : 52124713AD, SCAN P04578885AC, CELL [2,3]
06:20:23:30 | I | Matching ok | SEQ : 20174832730, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
06:20:26:32 | I | Matching ok | SEQ : 20174832720, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
06:20:29:87 | I | Matching ok | SEQ : 20174832710, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
06:20:33:57 | I | Matching ok | SEQ : 20174832700, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
06:27:55:68 | I | Matching ok | SEQ : 20174832810, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
06:27:58:93 | I | Matching ok | SEQ : 20174832800, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
06:28:01:86 | I | Matching ok | SEQ : 20174832790, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
06:28:04:48 | I | Matching ok | SEQ : 20174832780, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
06:28:08:21 | I | Matching ok | SEQ : 20174832770, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
06:28:10:23 | I | Matching ok | SEQ : 20174832760, PART : N/A, SCAN N/A, CELL [1,6]
06:28:12:24 | I | Matching ok | SEQ : 20174832870, PART : N/A, SCAN N/A, CELL [2,1]
