00:09:17:17 | I | Matching ok | SEQ : 20174658450, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:42:03:64 | I | Matching ok | SEQ : 20174658850, PART : N/A, SCAN N/A, CELL [2,3]
00:42:19:92 | I | Matching ok | SEQ : 20174658840, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:42:26:79 | I | Matching ok | SEQ : 20174658830, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:42:37:08 | I | Matching ok | SEQ : 20174658820, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:50:22:88 | I | Matching ok | SEQ : 20174658930, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:50:30:26 | I | Matching ok | SEQ : 20174658920, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:50:42:49 | I | Matching ok | SEQ : 20174658910, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
00:50:51:13 | I | Matching ok | SEQ : 20174658900, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:51:01:26 | I | Matching ok | SEQ : 20174658890, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:51:11:23 | I | Matching ok | SEQ : 20174658880, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:51:29:06 | I | Matching ok | SEQ : 20174658990, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:51:32:78 | I | Matching ok | SEQ : 20174658980, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:51:42:11 | I | Matching ok | SEQ : 20174658970, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:52:00:13 | I | Matching ok | SEQ : 20174658960, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
00:52:02:14 | I | Matching ok | SEQ : 20174658950, PART : N/A, SCAN N/A, CELL [2,5]
00:52:14:41 | I | Matching ok | SEQ : 20174658940, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:58:20:29 | I | Matching ok | SEQ : 20174659050, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:58:36:47 | I | Matching ok | SEQ : 20174659040, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
00:58:38:48 | I | Matching ok | SEQ : 20174659030, PART : N/A, SCAN N/A, CELL [1,3]
00:58:48:67 | I | Matching ok | SEQ : 20174659020, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:59:02:77 | I | Matching ok | SEQ : 20174659010, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
00:59:10:45 | I | Matching ok | SEQ : 20174659000, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:59:18:87 | I | Matching ok | SEQ : 20174659110, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:59:28:30 | I | Matching ok | SEQ : 20174659100, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:59:30:32 | I | Matching ok | SEQ : 20174659090, PART : N/A, SCAN N/A, CELL [2,3]
00:59:32:33 | I | Matching ok | SEQ : 20174659080, PART : N/A, SCAN N/A, CELL [2,4]
00:59:34:34 | I | Matching ok | SEQ : 20174659070, PART : N/A, SCAN N/A, CELL [2,5]
00:59:41:70 | I | Matching ok | SEQ : 20174659060, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:27:37:16 | I | Matching ok | SEQ : 20174659170, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:27:54:61 | I | Matching ok | SEQ : 20174659160, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:28:00:99 | I | Matching ok | SEQ : 20174659150, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:28:11:74 | I | Matching ok | SEQ : 20174659140, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:28:13:75 | I | Matching ok | SEQ : 20174659130, PART : N/A, SCAN N/A, CELL [1,5]
01:28:31:72 | I | Matching ok | SEQ : 20174659120, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
01:28:44:51 | I | Matching ok | SEQ : 20174659230, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:28:55:11 | I | Matching ok | SEQ : 20174659220, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:29:07:39 | I | Matching ok | SEQ : 20174659210, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:29:27:32 | I | Matching ok | SEQ : 20174659200, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
01:29:39:74 | I | Matching ok | SEQ : 20174659190, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
01:29:55:99 | I | Matching ok | SEQ : 20174659180, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:41:16:66 | I | Matching ok | SEQ : 20174659290, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:41:26:83 | I | Matching ok | SEQ : 20174659280, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
01:41:28:86 | I | Matching ok | SEQ : 20174659270, PART : N/A, SCAN N/A, CELL [1,3]
01:41:37:41 | I | Matching ok | SEQ : 20174659260, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:41:39:44 | I | Matching ok | SEQ : 20174659250, PART : N/A, SCAN N/A, CELL [1,5]
01:42:06:33 | I | Matching ok | SEQ : 20174659240, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:42:18:43 | W | Mismatching | SEQ : 20174659350, PART : 04578885AC, SCAN P52124713AD, CELL [2,1]
01:42:50:71 | I | Matching ok | SEQ : 20174659350, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:42:55:01 | I | Matching ok | SEQ : 20174659340, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
01:43:06:76 | I | Matching ok | SEQ : 20174659330, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
01:43:10:88 | I | Matching ok | SEQ : 20174659320, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:43:12:90 | I | Matching ok | SEQ : 20174659310, PART : N/A, SCAN N/A, CELL [2,5]
01:43:22:44 | I | Matching ok | SEQ : 20174659300, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:48:30:82 | I | Matching ok | SEQ : 20174659410, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:48:32:84 | I | Matching ok | SEQ : 20174659400, PART : N/A, SCAN N/A, CELL [1,2]
01:48:41:49 | I | Matching ok | SEQ : 20174659390, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:48:52:02 | I | Matching ok | SEQ : 20174659380, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
01:49:00:12 | I | Matching ok | SEQ : 20174659370, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:49:13:10 | I | Matching ok | SEQ : 20174659360, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
01:49:22:42 | I | Matching ok | SEQ : 20174659470, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
01:49:27:52 | I | Matching ok | SEQ : 20174659460, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:49:39:30 | I | Matching ok | SEQ : 20174659450, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:50:03:97 | I | Matching ok | SEQ : 20174659440, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
01:50:05:99 | I | Matching ok | SEQ : 20174659430, PART : N/A, SCAN N/A, CELL [2,5]
01:50:08:00 | I | Matching ok | SEQ : 20174659420, PART : N/A, SCAN N/A, CELL [2,6]
01:50:10:07 | I | Matching ok | SEQ : 20174659530, PART : N/A, SCAN N/A, CELL [1,1]
01:57:39:75 | I | Matching ok | SEQ : 20174659520, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
01:57:52:11 | I | Matching ok | SEQ : 20174659510, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:58:10:65 | I | Matching ok | SEQ : 20174659500, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
01:58:19:38 | I | Matching ok | SEQ : 20174659490, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
01:58:30:38 | I | Matching ok | SEQ : 20174659480, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:58:40:43 | I | Matching ok | SEQ : 20174659590, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:58:42:44 | I | Matching ok | SEQ : 20174659580, PART : N/A, SCAN N/A, CELL [2,2]
01:58:54:88 | I | Matching ok | SEQ : 20174659570, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:59:14:31 | I | Matching ok | SEQ : 20174659560, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:59:39:18 | I | Matching ok | SEQ : 20174659550, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
01:59:41:19 | I | Matching ok | SEQ : 20174659540, PART : N/A, SCAN N/A, CELL [2,6]
02:08:30:52 | I | Matching ok | SEQ : 20174659650, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
02:08:33:77 | I | Matching ok | SEQ : 20174659640, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
02:08:42:74 | I | Matching ok | SEQ : 20174659630, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
02:08:44:76 | I | Matching ok | SEQ : 20174659620, PART : N/A, SCAN N/A, CELL [1,4]
02:08:46:79 | I | Matching ok | SEQ : 20174659610, PART : N/A, SCAN N/A, CELL [1,5]
02:08:56:00 | I | Matching ok | SEQ : 20174659600, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
02:08:58:01 | I | Matching ok | SEQ : 20174659710, PART : N/A, SCAN N/A, CELL [2,1]
02:09:11:27 | I | Matching ok | SEQ : 20174659700, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
02:09:23:62 | I | Matching ok | SEQ : 20174659690, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
02:09:25:63 | I | Matching ok | SEQ : 20174659680, PART : N/A, SCAN N/A, CELL [2,4]
02:09:40:17 | I | Matching ok | SEQ : 20174659670, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
02:09:56:92 | I | Matching ok | SEQ : 20174659660, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
02:09:59:02 | I | Matching ok | SEQ : 20174659770, PART : N/A, SCAN N/A, CELL [1,1]
02:10:01:03 | I | Matching ok | SEQ : 20174659760, PART : N/A, SCAN N/A, CELL [1,2]
02:18:53:29 | I | Matching ok | SEQ : 20174659750, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
02:19:06:53 | I | Matching ok | SEQ : 20174659740, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
02:19:13:96 | I | Matching ok | SEQ : 20174659730, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
02:19:21:86 | I | Matching ok | SEQ : 20174659720, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:19:31:21 | I | Matching ok | SEQ : 20174659830, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:19:41:66 | I | Matching ok | SEQ : 20174659820, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
02:19:53:26 | I | Matching ok | SEQ : 20174659810, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
02:20:13:54 | I | Matching ok | SEQ : 20174659800, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
02:20:15:55 | I | Matching ok | SEQ : 20174659790, PART : N/A, SCAN N/A, CELL [2,5]
02:20:40:54 | I | Matching ok | SEQ : 20174659780, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
02:42:05:37 | I | Matching ok | SEQ : 20174659890, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
02:42:22:39 | I | Matching ok | SEQ : 20174659880, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
02:42:36:50 | I | Matching ok | SEQ : 20174659870, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:42:49:54 | I | Matching ok | SEQ : 20174659860, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
02:43:07:29 | I | Matching ok | SEQ : 20174659850, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
02:43:22:35 | I | Matching ok | SEQ : 20174659840, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:43:24:36 | I | Matching ok | SEQ : 20174659950, PART : N/A, SCAN N/A, CELL [2,1]
02:43:29:64 | I | Matching ok | SEQ : 20174659940, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
02:43:34:70 | I | Matching ok | SEQ : 20174659930, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
02:43:44:17 | I | Matching ok | SEQ : 20174659920, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
02:43:54:27 | I | Matching ok | SEQ : 20174659910, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
02:44:09:52 | I | Matching ok | SEQ : 20174659900, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
02:57:25:79 | I | Matching ok | SEQ : 20174660010, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
02:57:36:17 | I | Matching ok | SEQ : 20174660000, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
02:57:38:17 | I | Matching ok | SEQ : 20174659990, PART : N/A, SCAN N/A, CELL [1,3]
02:57:47:42 | I | Matching ok | SEQ : 20174659980, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
02:58:13:19 | I | Matching ok | SEQ : 20174659970, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
02:58:22:20 | I | Matching ok | SEQ : 20174659960, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:58:32:20 | I | Matching ok | SEQ : 20174660070, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:58:39:30 | I | Matching ok | SEQ : 20174660060, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
02:58:46:17 | I | Matching ok | SEQ : 20174660050, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
02:58:56:24 | I | Matching ok | SEQ : 20174660040, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
02:59:07:92 | I | Matching ok | SEQ : 20174660030, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
02:59:16:77 | I | Matching ok | SEQ : 20174660020, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
02:59:18:97 | I | Matching ok | SEQ : 20174660130, PART : N/A, SCAN N/A, CELL [1,1]
03:09:53:93 | I | Matching ok | SEQ : 20174660120, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
03:10:05:09 | I | Matching ok | SEQ : 20174660110, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:10:16:61 | I | Matching ok | SEQ : 20174660100, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:10:29:61 | I | Matching ok | SEQ : 20174660090, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
03:10:41:88 | I | Matching ok | SEQ : 20174660080, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
03:10:43:89 | I | Matching ok | SEQ : 20174660190, PART : N/A, SCAN N/A, CELL [2,1]
03:10:55:23 | I | Matching ok | SEQ : 20174660180, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:11:31:94 | I | Matching ok | SEQ : 20174660170, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
03:11:41:46 | I | Matching ok | SEQ : 20174660160, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
03:11:57:58 | I | Matching ok | SEQ : 20174660150, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
03:12:14:74 | I | Matching ok | SEQ : 20174660140, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:22:57:08 | I | Matching ok | SEQ : 20174660250, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:23:05:23 | I | Matching ok | SEQ : 20174660240, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
03:23:13:43 | I | Matching ok | SEQ : 20174660230, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:23:15:44 | I | Matching ok | SEQ : 20174660220, PART : N/A, SCAN N/A, CELL [1,4]
03:23:29:30 | I | Matching ok | SEQ : 20174660210, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
03:23:39:28 | I | Matching ok | SEQ : 20174660200, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
03:23:54:13 | I | Matching ok | SEQ : 20174660310, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
03:24:03:53 | I | Matching ok | SEQ : 20174660300, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:24:11:28 | I | Matching ok | SEQ : 20174660290, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:24:18:98 | I | Matching ok | SEQ : 20174660280, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
03:24:35:30 | I | Matching ok | SEQ : 20174660270, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
03:24:37:33 | I | Matching ok | SEQ : 20174660260, PART : N/A, SCAN N/A, CELL [2,6]
03:32:41:37 | I | Matching ok | SEQ : 20174660370, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:32:43:41 | I | Matching ok | SEQ : 20174660360, PART : N/A, SCAN N/A, CELL [1,2]
03:33:02:69 | I | Matching ok | SEQ : 20174660350, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
03:33:04:70 | I | Matching ok | SEQ : 20174660340, PART : N/A, SCAN N/A, CELL [1,4]
03:33:06:72 | I | Matching ok | SEQ : 20174660330, PART : N/A, SCAN N/A, CELL [1,5]
03:33:15:07 | I | Matching ok | SEQ : 20174660320, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
03:33:33:52 | I | Matching ok | SEQ : 20174660430, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
03:33:44:47 | I | Matching ok | SEQ : 20174660420, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:33:48:84 | I | Matching ok | SEQ : 20174660410, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:34:06:14 | I | Matching ok | SEQ : 20174660400, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
03:34:18:59 | I | Matching ok | SEQ : 20174660390, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
03:34:36:99 | I | Matching ok | SEQ : 20174660380, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:34:39:08 | I | Matching ok | SEQ : 20174660490, PART : N/A, SCAN N/A, CELL [1,1]
03:34:41:11 | I | Matching ok | SEQ : 20174660480, PART : N/A, SCAN N/A, CELL [1,2]
03:45:34:06 | I | Matching ok | SEQ : 20174660470, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:45:36:08 | I | Matching ok | SEQ : 20174660460, PART : N/A, SCAN N/A, CELL [1,4]
03:45:50:33 | I | Matching ok | SEQ : 20174660450, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
03:46:03:78 | I | Matching ok | SEQ : 20174660440, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
03:46:18:14 | I | Matching ok | SEQ : 20174660550, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
03:46:43:59 | I | Matching ok | SEQ : 20174660540, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:46:56:86 | I | Matching ok | SEQ : 20174660530, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
03:47:14:91 | I | Matching ok | SEQ : 20174660520, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
03:47:31:19 | I | Matching ok | SEQ : 20174660510, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
03:47:40:99 | I | Matching ok | SEQ : 20174660500, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:59:05:78 | I | Matching ok | SEQ : 20174660610, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:59:26:80 | I | Matching ok | SEQ : 20174660600, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
03:59:28:81 | I | Matching ok | SEQ : 20174660590, PART : N/A, SCAN N/A, CELL [1,3]
03:59:47:80 | I | Matching ok | SEQ : 20174660580, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
04:00:01:50 | I | Matching ok | SEQ : 20174660570, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
04:00:17:70 | I | Matching ok | SEQ : 20174660560, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
04:00:31:15 | I | Matching ok | SEQ : 20174660670, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
04:01:01:18 | I | Matching ok | SEQ : 20174660660, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
04:01:06:69 | I | Matching ok | SEQ : 20174660650, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
04:01:16:51 | I | Matching ok | SEQ : 20174660640, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
04:01:34:11 | I | Matching ok | SEQ : 20174660630, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
04:01:42:91 | I | Matching ok | SEQ : 20174660620, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
04:10:25:44 | I | Matching ok | SEQ : 20174660730, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
04:10:33:47 | I | Matching ok | SEQ : 20174660720, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
04:10:42:10 | I | Matching ok | SEQ : 20174660710, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
04:10:55:90 | I | Matching ok | SEQ : 20174660700, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
04:10:57:92 | I | Matching ok | SEQ : 20174660690, PART : N/A, SCAN N/A, CELL [1,5]
04:11:24:87 | I | Matching ok | SEQ : 20174660680, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
04:11:26:89 | I | Matching ok | SEQ : 20174660790, PART : N/A, SCAN N/A, CELL [2,1]
04:11:36:02 | I | Matching ok | SEQ : 20174660780, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
04:11:54:80 | I | Matching ok | SEQ : 20174660770, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
04:12:11:22 | I | Matching ok | SEQ : 20174660760, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
04:12:17:52 | I | Matching ok | SEQ : 20174660750, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
04:12:32:12 | I | Matching ok | SEQ : 20174660740, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
04:23:02:89 | I | Matching ok | SEQ : 20174660850, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
04:23:14:94 | I | Matching ok | SEQ : 20174660840, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
04:23:23:26 | I | Matching ok | SEQ : 20174660830, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
04:23:31:66 | I | Matching ok | SEQ : 20174660820, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
