00:06:46:20 | W | Mismatching | SEQ : 20174670210, PART : 04578885AC, SCAN TQ41847C1466, CELL [1,1]
01:28:31:52 | I | Matching ok | SEQ : 20174671010, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:28:36:25 | I | Matching ok | SEQ : 20174671000, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:28:40:49 | I | Matching ok | SEQ : 20174671110, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
01:28:44:77 | I | Matching ok | SEQ : 20174671100, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
01:28:46:78 | I | Matching ok | SEQ : 20174671090, PART : N/A, SCAN N/A, CELL [2,3]
01:28:55:77 | I | Matching ok | SEQ : 20174671080, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
01:29:07:20 | I | Matching ok | SEQ : 20174671070, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
01:29:18:07 | I | Matching ok | SEQ : 20174671060, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:40:13:13 | I | Matching ok | SEQ : 20174671170, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:40:32:29 | I | Matching ok | SEQ : 20174671160, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
01:40:44:01 | I | Matching ok | SEQ : 20174671150, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:41:10:21 | I | Matching ok | SEQ : 20174671140, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:41:12:23 | I | Matching ok | SEQ : 20174671130, PART : N/A, SCAN N/A, CELL [1,5]
01:41:25:69 | I | Matching ok | SEQ : 20174671120, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:41:29:64 | W | Mismatching | SEQ : 20174671230, PART : 04578885AC, SCAN TQ41847C0089, CELL [2,1]
01:41:42:41 | I | Matching ok | SEQ : 20174671230, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:41:46:86 | W | Mismatching | SEQ : 20174671220, PART : 04578885AC, SCAN TQ41847C0089, CELL [2,2]
01:42:06:02 | I | Matching ok | SEQ : 20174671220, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
01:42:11:61 | W | Mismatching | SEQ : 20174671210, PART : 68193661AB, SCAN P04578885AC, CELL [2,3]
01:42:24:89 | W | Mismatching | SEQ : 20174671210, PART : 68193661AB, SCAN P04578885AC, CELL [2,3]
01:42:43:94 | W | Mismatching | SEQ : 20174671210, PART : 68193661AB, SCAN P04578885AC, CELL [2,3]
01:43:20:29 | I | Matching ok | SEQ : 20174671210, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
01:43:23:16 | W | Mismatching | SEQ : 20174671200, PART : 04578885AC, SCAN P68193661AB, CELL [2,4]
01:44:00:46 | W | Mismatching | SEQ : 20174671200, PART : 04578885AC, SCAN TQ41867C0717, CELL [2,4]
01:44:10:69 | W | Mismatching | SEQ : 20174671200, PART : 04578885AC, SCAN P68193661AB, CELL [2,4]
01:44:27:21 | I | Matching ok | SEQ : 20174671200, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
01:44:30:84 | I | Matching ok | SEQ : 20174671190, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
01:44:49:32 | I | Matching ok | SEQ : 20174671180, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
01:53:43:88 | I | Matching ok | SEQ : 20174671290, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:53:46:68 | I | Matching ok | SEQ : 20174671280, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:54:21:60 | I | Matching ok | SEQ : 20174671270, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
01:54:38:75 | I | Matching ok | SEQ : 20174671260, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:54:57:13 | I | Matching ok | SEQ : 20174671250, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:54:59:16 | I | Matching ok | SEQ : 20174671240, PART : N/A, SCAN N/A, CELL [1,6]
01:55:14:61 | I | Matching ok | SEQ : 20174671350, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
01:55:23:33 | I | Matching ok | SEQ : 20174671340, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:55:30:33 | I | Matching ok | SEQ : 20174671330, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:55:43:11 | I | Matching ok | SEQ : 20174671320, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
01:55:45:12 | I | Matching ok | SEQ : 20174671310, PART : N/A, SCAN N/A, CELL [2,5]
01:56:15:36 | I | Matching ok | SEQ : 20174671300, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:56:17:55 | I | Matching ok | SEQ : 20174671410, PART : N/A, SCAN N/A, CELL [1,1]
02:05:41:32 | I | Matching ok | SEQ : 20174671400, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
02:05:51:37 | I | Matching ok | SEQ : 20174671390, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:05:53:38 | I | Matching ok | SEQ : 20174671380, PART : N/A, SCAN N/A, CELL [1,4]
02:05:59:02 | I | Matching ok | SEQ : 20174671370, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
02:06:01:04 | I | Matching ok | SEQ : 20174671360, PART : N/A, SCAN N/A, CELL [1,6]
02:06:08:22 | I | Matching ok | SEQ : 20174671470, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
02:06:41:55 | I | Matching ok | SEQ : 20174671460, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
02:06:52:05 | I | Matching ok | SEQ : 20174671450, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
02:07:05:60 | I | Matching ok | SEQ : 20174671440, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
02:07:22:32 | I | Matching ok | SEQ : 20174671430, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
02:07:24:35 | I | Matching ok | SEQ : 20174671420, PART : N/A, SCAN N/A, CELL [2,6]
02:16:42:59 | I | Matching ok | SEQ : 20174671530, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
02:16:44:61 | I | Matching ok | SEQ : 20174671520, PART : N/A, SCAN N/A, CELL [1,2]
02:16:53:01 | I | Matching ok | SEQ : 20174671510, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:16:55:04 | I | Matching ok | SEQ : 20174671500, PART : N/A, SCAN N/A, CELL [1,4]
02:17:12:04 | W | Mismatching | SEQ : 20174671490, PART : 52124713AD, SCAN TQ41667C0579, CELL [1,5]
02:17:24:84 | I | Matching ok | SEQ : 20174671490, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
02:17:52:84 | I | Matching ok | SEQ : 20174671480, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:18:05:42 | I | Matching ok | SEQ : 20174671590, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:18:15:01 | I | Matching ok | SEQ : 20174671580, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
02:18:17:04 | I | Matching ok | SEQ : 20174671570, PART : N/A, SCAN N/A, CELL [2,3]
02:18:26:82 | I | Matching ok | SEQ : 20174671560, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
02:18:35:44 | I | Matching ok | SEQ : 20174671550, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
02:18:43:47 | I | Matching ok | SEQ : 20174671540, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
02:42:34:38 | I | Matching ok | SEQ : 20174671650, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
02:42:36:39 | I | Matching ok | SEQ : 20174671640, PART : N/A, SCAN N/A, CELL [1,2]
02:42:38:41 | I | Matching ok | SEQ : 20174671630, PART : N/A, SCAN N/A, CELL [1,3]
02:42:47:15 | I | Matching ok | SEQ : 20174671620, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
02:42:49:17 | I | Matching ok | SEQ : 20174671610, PART : N/A, SCAN N/A, CELL [1,5]
02:43:03:78 | I | Matching ok | SEQ : 20174671600, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:43:15:80 | I | Matching ok | SEQ : 20174671710, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:43:30:81 | I | Matching ok | SEQ : 20174671700, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
02:43:32:82 | I | Matching ok | SEQ : 20174671690, PART : N/A, SCAN N/A, CELL [2,3]
02:44:05:08 | I | Matching ok | SEQ : 20174671680, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
02:44:13:10 | I | Matching ok | SEQ : 20174671670, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
02:44:15:11 | I | Matching ok | SEQ : 20174671660, PART : N/A, SCAN N/A, CELL [2,6]
02:55:09:67 | I | Matching ok | SEQ : 20174671770, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
02:55:25:12 | I | Matching ok | SEQ : 20174671760, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
02:55:38:77 | I | Matching ok | SEQ : 20174671750, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:55:40:78 | I | Matching ok | SEQ : 20174671740, PART : N/A, SCAN N/A, CELL [1,4]
02:55:50:47 | I | Matching ok | SEQ : 20174671730, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
02:56:15:04 | I | Matching ok | SEQ : 20174671720, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:56:29:87 | I | Matching ok | SEQ : 20174671830, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:56:31:90 | I | Matching ok | SEQ : 20174671820, PART : N/A, SCAN N/A, CELL [2,2]
02:56:50:94 | I | Matching ok | SEQ : 20174671810, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
02:56:52:98 | I | Matching ok | SEQ : 20174671800, PART : N/A, SCAN N/A, CELL [2,4]
02:57:14:10 | I | Matching ok | SEQ : 20174671790, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
02:57:26:90 | I | Matching ok | SEQ : 20174671780, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:06:06:43 | I | Matching ok | SEQ : 20174671890, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:06:17:26 | I | Matching ok | SEQ : 20174671880, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
03:06:30:23 | I | Matching ok | SEQ : 20174671870, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
03:06:32:24 | I | Matching ok | SEQ : 20174671860, PART : N/A, SCAN N/A, CELL [1,4]
03:06:35:04 | I | Matching ok | SEQ : 20174671850, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
03:06:51:96 | I | Matching ok | SEQ : 20174671840, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
03:07:04:91 | I | Matching ok | SEQ : 20174671950, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
03:07:12:48 | I | Matching ok | SEQ : 20174671940, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:07:14:49 | I | Matching ok | SEQ : 20174671930, PART : N/A, SCAN N/A, CELL [2,3]
03:07:23:81 | I | Matching ok | SEQ : 20174671920, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
03:07:30:09 | I | Matching ok | SEQ : 20174671910, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
03:07:32:43 | I | Matching ok | SEQ : 20174671900, PART : N/A, SCAN N/A, CELL [2,6]
03:19:10:93 | W | Mismatching | SEQ : 20174672010, PART : 52124713AD, SCAN TQ41767C1337, CELL [1,1]
03:19:19:50 | I | Matching ok | SEQ : 20174672010, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
03:19:32:18 | I | Matching ok | SEQ : 20174672000, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
03:19:46:60 | I | Matching ok | SEQ : 20174671990, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
03:20:15:18 | I | Matching ok | SEQ : 20174671980, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
03:20:17:22 | I | Matching ok | SEQ : 20174671970, PART : N/A, SCAN N/A, CELL [1,5]
03:20:19:25 | I | Matching ok | SEQ : 20174671960, PART : N/A, SCAN N/A, CELL [1,6]
03:20:28:38 | W | Mismatching | SEQ : 20174672070, PART : 04578885AC, SCAN P52124713AD, CELL [2,1]
03:20:57:78 | I | Matching ok | SEQ : 20174672070, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
03:21:13:50 | I | Matching ok | SEQ : 20174672060, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:21:17:20 | I | Matching ok | SEQ : 20174672050, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
03:21:34:96 | I | Matching ok | SEQ : 20174672040, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
03:21:45:96 | I | Matching ok | SEQ : 20174672030, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
03:21:47:97 | I | Matching ok | SEQ : 20174672020, PART : N/A, SCAN N/A, CELL [2,6]
03:30:01:07 | I | Matching ok | SEQ : 20174672130, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
03:30:17:17 | I | Matching ok | SEQ : 20174672120, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
03:30:32:84 | I | Matching ok | SEQ : 20174672110, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:30:58:22 | I | Matching ok | SEQ : 20174672100, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:31:06:25 | I | Matching ok | SEQ : 20174672090, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
03:31:13:72 | I | Matching ok | SEQ : 20174672080, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
03:31:21:07 | I | Matching ok | SEQ : 20174672190, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
03:31:30:12 | I | Matching ok | SEQ : 20174672180, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:31:38:25 | I | Matching ok | SEQ : 20174672170, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:31:40:28 | I | Matching ok | SEQ : 20174672160, PART : N/A, SCAN N/A, CELL [2,4]
03:31:49:62 | I | Matching ok | SEQ : 20174672150, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
03:31:59:02 | I | Matching ok | SEQ : 20174672140, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:40:38:64 | I | Matching ok | SEQ : 20174672250, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:40:55:73 | I | Matching ok | SEQ : 20174672240, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
03:41:11:08 | I | Matching ok | SEQ : 20174672230, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:41:23:99 | I | Matching ok | SEQ : 20174672220, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:41:39:66 | I | Matching ok | SEQ : 20174672210, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
03:41:51:96 | I | Matching ok | SEQ : 20174672200, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
03:42:09:26 | I | Matching ok | SEQ : 20174672310, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
03:42:23:51 | I | Matching ok | SEQ : 20174672300, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
03:42:49:79 | I | Matching ok | SEQ : 20174672290, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:43:03:86 | I | Matching ok | SEQ : 20174672280, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
03:43:53:04 | I | Matching ok | SEQ : 20174672270, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
03:44:06:57 | I | Matching ok | SEQ : 20174672260, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:53:03:85 | I | Matching ok | SEQ : 20174672370, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
03:53:05:88 | I | Matching ok | SEQ : 20174672360, PART : N/A, SCAN N/A, CELL [1,2]
03:53:08:21 | I | Matching ok | SEQ : 20174672350, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
03:53:17:98 | I | Matching ok | SEQ : 20174672340, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:53:19:98 | I | Matching ok | SEQ : 20174672330, PART : N/A, SCAN N/A, CELL [1,5]
03:53:35:95 | I | Matching ok | SEQ : 20174672320, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
03:53:43:58 | I | Matching ok | SEQ : 20174672430, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
03:54:03:58 | I | Matching ok | SEQ : 20174672420, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
03:54:10:83 | I | Matching ok | SEQ : 20174672410, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:54:26:88 | I | Matching ok | SEQ : 20174672400, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
03:54:28:90 | I | Matching ok | SEQ : 20174672390, PART : N/A, SCAN N/A, CELL [2,5]
03:54:43:75 | I | Matching ok | SEQ : 20174672380, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
04:02:34:74 | I | Matching ok | SEQ : 20174672490, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
04:02:55:22 | I | Matching ok | SEQ : 20174672480, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
04:02:57:23 | I | Matching ok | SEQ : 20174672470, PART : N/A, SCAN N/A, CELL [1,3]
04:03:21:34 | I | Matching ok | SEQ : 20174672460, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
