00:11:36:65 | I | Matching ok | SEQ : 20174710530, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
00:35:01:06 | I | Matching ok | SEQ : 20174710850, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:35:06:19 | I | Matching ok | SEQ : 20174710840, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:35:19:01 | I | Matching ok | SEQ : 20174710950, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:35:23:34 | I | Matching ok | SEQ : 20174710940, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:35:37:86 | I | Matching ok | SEQ : 20174710930, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:35:48:39 | I | Matching ok | SEQ : 20174710920, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:35:52:34 | I | Matching ok | SEQ : 20174710910, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:35:59:49 | I | Matching ok | SEQ : 20174710900, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:43:48:70 | I | Matching ok | SEQ : 20174711010, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:44:10:33 | I | Matching ok | SEQ : 20174711000, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:44:18:38 | I | Matching ok | SEQ : 20174710990, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:44:26:42 | I | Matching ok | SEQ : 20174710980, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:44:40:80 | I | Matching ok | SEQ : 20174710970, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:44:58:28 | I | Matching ok | SEQ : 20174710960, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:45:00:29 | I | Matching ok | SEQ : 20174711070, PART : N/A, SCAN N/A, CELL [2,1]
00:45:11:05 | I | Matching ok | SEQ : 20174711060, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:45:24:15 | W | Mismatching | SEQ : 20174711050, PART : 04578885AC, SCAN P52124713AD, CELL [2,3]
00:45:33:10 | W | Mismatching | SEQ : 20174711050, PART : 04578885AC, SCAN P52124713AD, CELL [2,3]
00:46:24:75 | I | Matching ok | SEQ : 20174711050, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:46:29:23 | W | Mismatching | SEQ : 20174711040, PART : 52124713AD, SCAN P04578885AC, CELL [2,4]
00:46:56:30 | I | Matching ok | SEQ : 20174711040, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:47:01:70 | I | Matching ok | SEQ : 20174711030, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:47:11:93 | I | Matching ok | SEQ : 20174711020, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:55:41:89 | I | Matching ok | SEQ : 20174711130, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:55:55:87 | I | Matching ok | SEQ : 20174711120, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:56:08:72 | I | Matching ok | SEQ : 20174711110, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:56:25:42 | I | Matching ok | SEQ : 20174711100, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:56:27:45 | I | Matching ok | SEQ : 20174711090, PART : N/A, SCAN N/A, CELL [1,5]
00:56:53:34 | I | Matching ok | SEQ : 20174711080, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:56:58:24 | I | Matching ok | SEQ : 20174711190, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
00:57:13:24 | I | Matching ok | SEQ : 20174711180, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:57:40:24 | I | Matching ok | SEQ : 20174711170, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:57:50:22 | I | Matching ok | SEQ : 20174711160, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:57:56:87 | I | Matching ok | SEQ : 20174711150, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:58:17:32 | I | Matching ok | SEQ : 20174711140, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:19:57:25 | I | Matching ok | SEQ : 20174711250, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:20:01:38 | I | Matching ok | SEQ : 20174711240, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:20:10:78 | I | Matching ok | SEQ : 20174711230, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:20:15:06 | W | Mismatching | SEQ : 20174711220, PART : 04578885AC, SCAN TQ41897C0480, CELL [1,4]
01:20:21:08 | I | Matching ok | SEQ : 20174711220, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
01:20:36:05 | I | Matching ok | SEQ : 20174711210, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:20:38:07 | I | Matching ok | SEQ : 20174711200, PART : N/A, SCAN N/A, CELL [1,6]
01:21:05:30 | I | Matching ok | SEQ : 20174711310, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:21:51:13 | I | Matching ok | SEQ : 20174711300, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
01:22:01:23 | I | Matching ok | SEQ : 20174711290, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:22:06:43 | I | Matching ok | SEQ : 20174711280, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
01:22:10:33 | I | Matching ok | SEQ : 20174711270, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
01:22:12:98 | I | Matching ok | SEQ : 20174711260, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:29:42:54 | I | Matching ok | SEQ : 20174711370, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:29:59:09 | I | Matching ok | SEQ : 20174711360, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:30:12:29 | I | Matching ok | SEQ : 20174711350, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:30:33:22 | I | Matching ok | SEQ : 20174711340, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
01:30:46:77 | I | Matching ok | SEQ : 20174711330, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:31:03:64 | I | Matching ok | SEQ : 20174711320, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:31:50:49 | I | Matching ok | SEQ : 20174711430, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:32:01:27 | I | Matching ok | SEQ : 20174711420, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
01:32:13:07 | I | Matching ok | SEQ : 20174711410, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:32:20:62 | I | Matching ok | SEQ : 20174711400, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
01:32:28:52 | I | Matching ok | SEQ : 20174711390, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
01:32:52:25 | I | Matching ok | SEQ : 20174711380, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:39:25:63 | I | Matching ok | SEQ : 20174711490, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:39:39:46 | I | Matching ok | SEQ : 20174711480, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:39:42:70 | I | Matching ok | SEQ : 20174711470, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:39:55:48 | I | Matching ok | SEQ : 20174711460, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
01:40:08:78 | I | Matching ok | SEQ : 20174711450, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:40:16:76 | I | Matching ok | SEQ : 20174711440, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:40:28:88 | I | Matching ok | SEQ : 20174711550, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:40:42:13 | I | Matching ok | SEQ : 20174711540, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:40:50:51 | I | Matching ok | SEQ : 20174711530, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:40:59:61 | I | Matching ok | SEQ : 20174711520, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:41:12:48 | I | Matching ok | SEQ : 20174711510, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
01:41:20:91 | I | Matching ok | SEQ : 20174711500, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:48:52:87 | I | Matching ok | SEQ : 20174711610, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:49:05:69 | I | Matching ok | SEQ : 20174711600, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:49:19:82 | I | Matching ok | SEQ : 20174711590, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:49:30:94 | I | Matching ok | SEQ : 20174711580, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
01:49:48:87 | I | Matching ok | SEQ : 20174711570, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:50:14:10 | I | Matching ok | SEQ : 20174711560, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:50:25:69 | I | Matching ok | SEQ : 20174711670, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:50:50:99 | I | Matching ok | SEQ : 20174711660, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:51:07:97 | I | Matching ok | SEQ : 20174711650, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
01:51:19:20 | I | Matching ok | SEQ : 20174711640, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
01:51:30:27 | I | Matching ok | SEQ : 20174711630, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
01:51:54:65 | I | Matching ok | SEQ : 20174711620, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
02:01:26:61 | I | Matching ok | SEQ : 20174711730, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
02:01:29:19 | I | Matching ok | SEQ : 20174711720, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
02:01:33:16 | I | Matching ok | SEQ : 20174711710, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:01:39:64 | I | Matching ok | SEQ : 20174711700, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
02:01:45:81 | I | Matching ok | SEQ : 20174711690, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
02:02:30:59 | I | Matching ok | SEQ : 20174711680, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:02:46:60 | I | Matching ok | SEQ : 20174711790, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:02:54:46 | I | Matching ok | SEQ : 20174711780, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
02:03:10:61 | I | Matching ok | SEQ : 20174711770, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
02:03:19:61 | I | Matching ok | SEQ : 20174711760, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
02:03:32:14 | I | Matching ok | SEQ : 20174711750, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
02:03:43:87 | I | Matching ok | SEQ : 20174711740, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
02:12:58:75 | I | Matching ok | SEQ : 20174711850, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
02:13:14:03 | I | Matching ok | SEQ : 20174711840, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
02:13:28:13 | I | Matching ok | SEQ : 20174711830, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:13:54:46 | I | Matching ok | SEQ : 20174711820, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
02:14:05:21 | I | Matching ok | SEQ : 20174711810, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
02:14:13:68 | I | Matching ok | SEQ : 20174711800, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:14:23:45 | I | Matching ok | SEQ : 20174711910, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
02:14:30:48 | I | Matching ok | SEQ : 20174711900, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
02:14:45:73 | I | Matching ok | SEQ : 20174711890, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
02:14:47:74 | I | Matching ok | SEQ : 20174711880, PART : N/A, SCAN N/A, CELL [2,4]
02:14:50:53 | I | Matching ok | SEQ : 20174711870, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
02:14:52:55 | I | Matching ok | SEQ : 20174711860, PART : N/A, SCAN N/A, CELL [2,6]
02:14:54:73 | I | Matching ok | SEQ : 20174711970, PART : N/A, SCAN N/A, CELL [1,1]
02:26:17:32 | I | Matching ok | SEQ : 20174711960, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
02:26:19:34 | I | Matching ok | SEQ : 20174711950, PART : N/A, SCAN N/A, CELL [1,3]
02:26:32:97 | I | Matching ok | SEQ : 20174711940, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
02:26:34:99 | I | Matching ok | SEQ : 20174711930, PART : N/A, SCAN N/A, CELL [1,5]
02:26:51:02 | I | Matching ok | SEQ : 20174711920, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
02:27:09:52 | I | Matching ok | SEQ : 20174712030, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:27:24:98 | I | Matching ok | SEQ : 20174712020, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
02:27:41:85 | I | Matching ok | SEQ : 20174712010, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
02:27:43:86 | I | Matching ok | SEQ : 20174712000, PART : N/A, SCAN N/A, CELL [2,4]
02:27:51:80 | I | Matching ok | SEQ : 20174711990, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
02:27:58:73 | I | Matching ok | SEQ : 20174711980, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
02:47:00:55 | I | Matching ok | SEQ : 20174712090, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
02:47:20:20 | I | Matching ok | SEQ : 20174712080, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
02:47:32:23 | I | Matching ok | SEQ : 20174712070, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:48:09:43 | I | Matching ok | SEQ : 20174712060, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
02:48:13:05 | I | Matching ok | SEQ : 20174712050, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
02:48:20:70 | I | Matching ok | SEQ : 20174712040, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:48:34:26 | I | Matching ok | SEQ : 20174712150, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
02:48:36:27 | I | Matching ok | SEQ : 20174712140, PART : N/A, SCAN N/A, CELL [2,2]
02:48:44:55 | I | Matching ok | SEQ : 20174712130, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
02:49:16:16 | I | Matching ok | SEQ : 20174712120, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
02:49:34:38 | I | Matching ok | SEQ : 20174712110, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
02:49:42:15 | I | Matching ok | SEQ : 20174712100, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
02:55:16:76 | I | Matching ok | SEQ : 20174712210, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
02:55:38:74 | I | Matching ok | SEQ : 20174712200, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
02:55:55:31 | I | Matching ok | SEQ : 20174712190, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:55:57:32 | I | Matching ok | SEQ : 20174712180, PART : N/A, SCAN N/A, CELL [1,4]
02:56:06:89 | I | Matching ok | SEQ : 20174712170, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
02:56:14:19 | I | Matching ok | SEQ : 20174712160, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:56:35:29 | I | Matching ok | SEQ : 20174712270, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
02:56:45:86 | I | Matching ok | SEQ : 20174712260, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
02:57:01:66 | I | Matching ok | SEQ : 20174712250, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
02:58:09:72 | I | Matching ok | SEQ : 20174712240, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
02:58:30:94 | I | Matching ok | SEQ : 20174712230, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
02:58:44:77 | W | Mismatching | SEQ : 20174712220, PART : 04578885AC, SCAN TQ41907H0510, CELL [2,6]
02:59:01:34 | I | Matching ok | SEQ : 20174712220, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:13:43:46 | I | Matching ok | SEQ : 20174712330, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:14:00:26 | I | Matching ok | SEQ : 20174712320, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
03:14:37:32 | I | Matching ok | SEQ : 20174712310, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
03:14:39:34 | I | Matching ok | SEQ : 20174712300, PART : N/A, SCAN N/A, CELL [1,4]
03:14:45:19 | I | Matching ok | SEQ : 20174712290, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
03:14:51:34 | I | Matching ok | SEQ : 20174712280, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
03:14:58:89 | I | Matching ok | SEQ : 20174712390, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
03:15:00:91 | I | Matching ok | SEQ : 20174712380, PART : N/A, SCAN N/A, CELL [2,2]
03:15:02:93 | I | Matching ok | SEQ : 20174712370, PART : N/A, SCAN N/A, CELL [2,3]
03:15:04:94 | I | Matching ok | SEQ : 20174712360, PART : N/A, SCAN N/A, CELL [2,4]
03:15:21:87 | I | Matching ok | SEQ : 20174712350, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
03:15:25:79 | I | Matching ok | SEQ : 20174712340, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:26:38:83 | I | Matching ok | SEQ : 20174712450, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:26:51:88 | I | Matching ok | SEQ : 20174712440, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
03:27:04:13 | I | Matching ok | SEQ : 20174712430, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:27:22:71 | I | Matching ok | SEQ : 20174712420, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
03:27:24:73 | I | Matching ok | SEQ : 20174712410, PART : N/A, SCAN N/A, CELL [1,5]
03:27:40:83 | I | Matching ok | SEQ : 20174712400, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
03:27:54:29 | I | Matching ok | SEQ : 20174712510, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
03:27:56:32 | I | Matching ok | SEQ : 20174712500, PART : N/A, SCAN N/A, CELL [2,2]
03:28:13:86 | I | Matching ok | SEQ : 20174712490, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:28:16:81 | I | Matching ok | SEQ : 20174712480, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
03:28:52:52 | I | Matching ok | SEQ : 20174712470, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
03:29:07:26 | W | Mismatching | SEQ : 20174712460, PART : 52124713AD, SCAN P04578885AC, CELL [2,6]
03:29:32:61 | I | Matching ok | SEQ : 20174712460, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
03:48:22:24 | I | Matching ok | SEQ : 20174712570, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
03:48:37:56 | I | Matching ok | SEQ : 20174712560, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
03:48:51:69 | I | Matching ok | SEQ : 20174712550, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:49:19:44 | I | Matching ok | SEQ : 20174712540, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:49:29:72 | I | Matching ok | SEQ : 20174712530, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
03:49:31:73 | I | Matching ok | SEQ : 20174712520, PART : N/A, SCAN N/A, CELL [1,6]
03:49:47:31 | I | Matching ok | SEQ : 20174712630, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
03:49:52:89 | I | Matching ok | SEQ : 20174712620, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:49:58:70 | I | Matching ok | SEQ : 20174712610, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:50:00:70 | I | Matching ok | SEQ : 20174712600, PART : N/A, SCAN N/A, CELL [2,4]
03:50:08:06 | I | Matching ok | SEQ : 20174712590, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
03:50:12:72 | I | Matching ok | SEQ : 20174712580, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:50:14:79 | I | Matching ok | SEQ : 20174712690, PART : N/A, SCAN N/A, CELL [1,1]
03:56:49:47 | I | Matching ok | SEQ : 20174712680, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
03:57:08:63 | I | Matching ok | SEQ : 20174712670, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
03:57:19:60 | I | Matching ok | SEQ : 20174712660, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
03:57:29:85 | I | Matching ok | SEQ : 20174712650, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
03:57:45:68 | I | Matching ok | SEQ : 20174712640, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
03:58:01:20 | I | Matching ok | SEQ : 20174712750, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
03:58:13:63 | I | Matching ok | SEQ : 20174712740, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:58:24:80 | I | Matching ok | SEQ : 20174712730, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:58:37:58 | I | Matching ok | SEQ : 20174712720, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
03:59:47:58 | I | Matching ok | SEQ : 20174712710, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
03:59:51:08 | I | Matching ok | SEQ : 20174712700, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
04:11:17:00 | I | Matching ok | SEQ : 20174712810, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
04:11:20:77 | I | Matching ok | SEQ : 20174712800, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
04:11:24:42 | I | Matching ok | SEQ : 20174712790, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
04:11:34:70 | I | Matching ok | SEQ : 20174712780, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
04:11:53:70 | I | Matching ok | SEQ : 20174712770, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
04:12:03:60 | I | Matching ok | SEQ : 20174712760, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
04:12:19:08 | I | Matching ok | SEQ : 20174712870, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
04:12:24:48 | I | Matching ok | SEQ : 20174712860, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
