05:18:47:51 | I | Matching ok | SEQ : 20174748810, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
06:44:08:67 | I | Matching ok | SEQ : 20174749560, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
06:44:11:32 | I | Matching ok | SEQ : 20174749550, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
06:44:13:92 | I | Matching ok | SEQ : 20174749540, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
06:55:56:69 | I | Matching ok | SEQ : 20174749650, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
06:55:59:79 | I | Matching ok | SEQ : 20174749640, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
06:56:02:87 | I | Matching ok | SEQ : 20174749630, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
06:56:06:44 | I | Matching ok | SEQ : 20174749620, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
06:56:09:32 | I | Matching ok | SEQ : 20174749610, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
06:56:11:82 | I | Matching ok | SEQ : 20174749600, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:56:15:29 | I | Matching ok | SEQ : 20174749710, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:56:18:12 | I | Matching ok | SEQ : 20174749700, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
06:56:20:29 | I | Matching ok | SEQ : 20174749690, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
06:56:22:44 | I | Matching ok | SEQ : 20174749680, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
06:56:24:45 | I | Matching ok | SEQ : 20174749670, PART : N/A, SCAN N/A, CELL [2,5]
06:56:26:72 | I | Matching ok | SEQ : 20174749660, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
07:32:05:55 | I | Matching ok | SEQ : 20174749770, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
07:32:09:99 | I | Matching ok | SEQ : 20174749760, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:32:15:32 | I | Matching ok | SEQ : 20174749750, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
07:32:17:34 | I | Matching ok | SEQ : 20174749740, PART : N/A, SCAN N/A, CELL [1,4]
07:32:21:44 | I | Matching ok | SEQ : 20174749730, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:32:25:92 | I | Matching ok | SEQ : 20174749720, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
07:32:30:87 | I | Matching ok | SEQ : 20174749830, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
07:32:35:79 | I | Matching ok | SEQ : 20174749820, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
07:32:39:84 | I | Matching ok | SEQ : 20174749810, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
07:32:44:24 | I | Matching ok | SEQ : 20174749800, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:32:48:24 | I | Matching ok | SEQ : 20174749790, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
07:32:52:82 | I | Matching ok | SEQ : 20174749780, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
07:45:41:34 | I | Matching ok | SEQ : 20174749890, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
07:45:45:06 | I | Matching ok | SEQ : 20174749880, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:45:48:64 | I | Matching ok | SEQ : 20174749870, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:45:52:26 | I | Matching ok | SEQ : 20174749860, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:45:56:14 | I | Matching ok | SEQ : 20174749850, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:46:01:09 | I | Matching ok | SEQ : 20174749840, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
07:46:04:94 | I | Matching ok | SEQ : 20174749950, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
07:46:08:94 | I | Matching ok | SEQ : 20174749940, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
07:46:12:59 | I | Matching ok | SEQ : 20174749930, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
07:46:15:89 | I | Matching ok | SEQ : 20174749920, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:46:19:44 | I | Matching ok | SEQ : 20174749910, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
07:46:21:45 | I | Matching ok | SEQ : 20174749900, PART : N/A, SCAN N/A, CELL [2,6]
07:55:36:98 | I | Matching ok | SEQ : 20174750010, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
07:55:41:40 | I | Matching ok | SEQ : 20174750000, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:55:45:80 | I | Matching ok | SEQ : 20174749990, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
07:55:49:95 | I | Matching ok | SEQ : 20174749980, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:55:54:20 | I | Matching ok | SEQ : 20174749970, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:55:58:23 | I | Matching ok | SEQ : 20174749960, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
07:56:02:21 | I | Matching ok | SEQ : 20174750070, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
07:56:07:55 | I | Matching ok | SEQ : 20174750060, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
07:56:12:10 | I | Matching ok | SEQ : 20174750050, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
07:56:14:13 | I | Matching ok | SEQ : 20174750040, PART : N/A, SCAN N/A, CELL [2,4]
07:56:17:18 | I | Matching ok | SEQ : 20174750030, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
07:56:21:73 | I | Matching ok | SEQ : 20174750020, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
08:06:57:57 | I | Matching ok | SEQ : 20174750130, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:07:02:84 | I | Matching ok | SEQ : 20174750120, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
08:07:07:79 | I | Matching ok | SEQ : 20174750110, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
08:07:12:57 | I | Matching ok | SEQ : 20174750100, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:07:17:14 | I | Matching ok | SEQ : 20174750090, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
08:07:21:92 | I | Matching ok | SEQ : 20174750080, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
08:07:25:99 | I | Matching ok | SEQ : 20174750190, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
08:07:31:04 | I | Matching ok | SEQ : 20174750180, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
08:07:33:06 | I | Matching ok | SEQ : 20174750170, PART : N/A, SCAN N/A, CELL [2,3]
08:07:36:79 | I | Matching ok | SEQ : 20174750160, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
08:07:41:50 | I | Matching ok | SEQ : 20174750150, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
08:07:45:77 | I | Matching ok | SEQ : 20174750140, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
08:20:54:74 | I | Matching ok | SEQ : 20174750250, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:20:58:39 | I | Matching ok | SEQ : 20174750240, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
08:21:01:26 | I | Matching ok | SEQ : 20174750230, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
08:21:04:64 | I | Matching ok | SEQ : 20174750220, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:21:06:67 | I | Matching ok | SEQ : 20174750210, PART : N/A, SCAN N/A, CELL [1,5]
08:21:10:94 | I | Matching ok | SEQ : 20174750200, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
08:21:14:39 | I | Matching ok | SEQ : 20174750310, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
08:21:16:40 | I | Matching ok | SEQ : 20174750300, PART : N/A, SCAN N/A, CELL [2,2]
08:21:19:94 | I | Matching ok | SEQ : 20174750290, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
08:21:24:39 | I | Matching ok | SEQ : 20174750280, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
08:21:26:40 | I | Matching ok | SEQ : 20174750270, PART : N/A, SCAN N/A, CELL [2,5]
08:21:29:91 | I | Matching ok | SEQ : 20174750260, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
08:40:34:62 | I | Matching ok | SEQ : 20174750370, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
08:40:37:19 | I | Matching ok | SEQ : 20174750360, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
08:40:40:44 | I | Matching ok | SEQ : 20174750350, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
08:40:43:12 | I | Matching ok | SEQ : 20174750340, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:40:45:52 | I | Matching ok | SEQ : 20174750330, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
08:40:50:02 | I | Matching ok | SEQ : 20174750320, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
08:40:56:24 | I | Matching ok | SEQ : 20174750430, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
08:41:03:12 | I | Matching ok | SEQ : 20174750420, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
08:41:06:24 | I | Matching ok | SEQ : 20174750410, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
08:41:09:39 | I | Matching ok | SEQ : 20174750400, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
08:41:11:87 | I | Matching ok | SEQ : 20174750390, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
08:41:14:22 | I | Matching ok | SEQ : 20174750380, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
08:48:55:95 | I | Matching ok | SEQ : 20174750490, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
08:48:59:16 | I | Matching ok | SEQ : 20174750480, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
08:49:02:00 | I | Matching ok | SEQ : 20174750470, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
08:49:04:55 | I | Matching ok | SEQ : 20174750460, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
08:49:07:18 | I | Matching ok | SEQ : 20174750450, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
08:49:09:21 | I | Matching ok | SEQ : 20174750440, PART : N/A, SCAN N/A, CELL [1,6]
08:49:14:00 | I | Matching ok | SEQ : 20174750550, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
08:49:27:08 | I | Matching ok | SEQ : 20174750540, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
08:49:29:09 | I | Matching ok | SEQ : 20174750530, PART : N/A, SCAN N/A, CELL [2,3]
08:49:32:43 | I | Matching ok | SEQ : 20174750520, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
08:49:36:98 | I | Matching ok | SEQ : 20174750510, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
08:49:39:00 | I | Matching ok | SEQ : 20174750500, PART : N/A, SCAN N/A, CELL [2,6]
09:03:19:77 | W | Mismatching | SEQ : 20174750610, PART : 04578885AC, SCAN P52124713AD, CELL [1,1]
09:03:33:20 | I | Matching ok | SEQ : 20174750610, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
09:03:36:85 | I | Matching ok | SEQ : 20174750600, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
09:03:40:22 | I | Matching ok | SEQ : 20174750590, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
09:03:44:12 | I | Matching ok | SEQ : 20174750580, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
09:03:47:85 | I | Matching ok | SEQ : 20174750570, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
09:03:52:07 | I | Matching ok | SEQ : 20174750560, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
09:03:55:60 | I | Matching ok | SEQ : 20174750670, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
09:03:59:10 | I | Matching ok | SEQ : 20174750660, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
09:04:02:70 | W | Mismatching | SEQ : 20174750650, PART : 52124713AD, SCAN TQ41977C0449, CELL [2,3]
09:04:14:10 | I | Matching ok | SEQ : 20174750650, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
09:04:19:67 | I | Matching ok | SEQ : 20174750640, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
09:04:23:80 | I | Matching ok | SEQ : 20174750630, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
09:04:27:50 | I | Matching ok | SEQ : 20174750620, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
09:12:04:86 | I | Matching ok | SEQ : 20174750730, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
09:12:08:23 | I | Matching ok | SEQ : 20174750720, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
09:12:10:26 | I | Matching ok | SEQ : 20174750710, PART : N/A, SCAN N/A, CELL [1,3]
09:12:12:61 | I | Matching ok | SEQ : 20174750700, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
09:12:15:41 | I | Matching ok | SEQ : 20174750690, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
09:12:19:59 | I | Matching ok | SEQ : 20174750680, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
09:12:23:49 | I | Matching ok | SEQ : 20174750790, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
09:12:25:96 | I | Matching ok | SEQ : 20174750780, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
09:12:31:29 | I | Matching ok | SEQ : 20174750770, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
09:12:43:46 | I | Matching ok | SEQ : 20174750760, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
09:12:47:79 | I | Matching ok | SEQ : 20174750750, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
09:12:49:81 | I | Matching ok | SEQ : 20174750740, PART : N/A, SCAN N/A, CELL [2,6]
09:12:51:92 | I | Matching ok | SEQ : 20174750850, PART : N/A, SCAN N/A, CELL [1,1]
09:22:41:05 | I | Matching ok | SEQ : 20174750840, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
09:22:43:08 | I | Matching ok | SEQ : 20174750830, PART : N/A, SCAN N/A, CELL [1,3]
09:22:45:33 | I | Matching ok | SEQ : 20174750820, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
09:22:48:35 | I | Matching ok | SEQ : 20174750810, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
09:22:51:43 | I | Matching ok | SEQ : 20174750800, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
09:22:54:83 | I | Matching ok | SEQ : 20174750910, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
09:22:58:32 | I | Matching ok | SEQ : 20174750900, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
09:23:01:45 | I | Matching ok | SEQ : 20174750890, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
09:23:04:85 | I | Matching ok | SEQ : 20174750880, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
09:23:07:83 | I | Matching ok | SEQ : 20174750870, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
09:23:11:08 | I | Matching ok | SEQ : 20174750860, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
09:39:20:85 | I | Matching ok | SEQ : 20174750970, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
09:39:24:02 | I | Matching ok | SEQ : 20174750960, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
09:39:35:12 | I | Matching ok | SEQ : 20174750950, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
09:39:59:13 | I | Matching ok | SEQ : 20174750940, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
09:40:04:05 | I | Matching ok | SEQ : 20174750930, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
09:40:08:20 | W | Mismatching | SEQ : 20174750920, PART : 52124713AD, SCAN P04578885AC, CELL [1,6]
09:40:17:63 | I | Matching ok | SEQ : 20174750920, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
09:40:21:20 | I | Matching ok | SEQ : 20174751030, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
09:40:30:05 | I | Matching ok | SEQ : 20174751020, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
09:40:33:60 | I | Matching ok | SEQ : 20174751010, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
09:40:39:03 | I | Matching ok | SEQ : 20174751000, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
09:40:41:05 | I | Matching ok | SEQ : 20174750990, PART : N/A, SCAN N/A, CELL [2,5]
09:40:45:60 | I | Matching ok | SEQ : 20174750980, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
10:49:41:30 | I | Matching ok | SEQ : 20174751090, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
10:49:44:70 | I | Matching ok | SEQ : 20174751080, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
10:49:47:40 | I | Matching ok | SEQ : 20174751070, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
10:49:51:15 | I | Matching ok | SEQ : 20174751060, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
10:49:53:20 | I | Matching ok | SEQ : 20174751050, PART : N/A, SCAN N/A, CELL [1,5]
10:49:55:26 | I | Matching ok | SEQ : 20174751040, PART : N/A, SCAN N/A, CELL [1,6]
10:50:00:00 | I | Matching ok | SEQ : 20174751150, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
10:50:05:48 | I | Matching ok | SEQ : 20174751140, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
10:50:11:50 | I | Matching ok | SEQ : 20174751130, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
10:50:15:90 | I | Matching ok | SEQ : 20174751120, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
10:50:19:31 | I | Matching ok | SEQ : 20174751110, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
