00:14:39:49 | I | Matching ok | SEQ : 20174791890, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:26:57:86 | I | Matching ok | SEQ : 20174791970, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:27:02:61 | I | Matching ok | SEQ : 20174791960, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:27:58:48 | I | Matching ok | SEQ : 20174792070, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:28:07:83 | I | Matching ok | SEQ : 20174792060, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:28:18:06 | I | Matching ok | SEQ : 20174792050, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:28:30:46 | I | Matching ok | SEQ : 20174792040, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:28:34:14 | I | Matching ok | SEQ : 20174792030, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:28:36:15 | I | Matching ok | SEQ : 20174792020, PART : N/A, SCAN N/A, CELL [2,6]
00:28:38:24 | I | Matching ok | SEQ : 20174792130, PART : N/A, SCAN N/A, CELL [1,1]
00:28:40:27 | I | Matching ok | SEQ : 20174792120, PART : N/A, SCAN N/A, CELL [1,2]
00:50:43:39 | I | Matching ok | SEQ : 20174792110, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:50:50:49 | I | Matching ok | SEQ : 20174792100, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:51:02:19 | I | Matching ok | SEQ : 20174792090, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:51:04:20 | I | Matching ok | SEQ : 20174792080, PART : N/A, SCAN N/A, CELL [1,6]
00:51:19:44 | I | Matching ok | SEQ : 20174792190, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:51:26:22 | I | Matching ok | SEQ : 20174792180, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:51:33:64 | I | Matching ok | SEQ : 20174792170, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:51:45:54 | I | Matching ok | SEQ : 20174792160, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:51:52:52 | I | Matching ok | SEQ : 20174792150, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:51:56:81 | I | Matching ok | SEQ : 20174792140, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:00:17:53 | I | Matching ok | SEQ : 20174792250, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:00:27:08 | I | Matching ok | SEQ : 20174792240, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:00:35:73 | I | Matching ok | SEQ : 20174792230, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:00:51:68 | I | Matching ok | SEQ : 20174792220, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:01:02:20 | I | Matching ok | SEQ : 20174792210, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:01:04:21 | I | Matching ok | SEQ : 20174792200, PART : N/A, SCAN N/A, CELL [1,6]
01:01:12:03 | I | Matching ok | SEQ : 20174792310, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:01:24:13 | I | Matching ok | SEQ : 20174792300, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:01:26:15 | I | Matching ok | SEQ : 20174792290, PART : N/A, SCAN N/A, CELL [2,3]
01:01:34:55 | I | Matching ok | SEQ : 20174792280, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:03:16:66 | I | Matching ok | SEQ : 20174792270, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
01:03:19:96 | I | Matching ok | SEQ : 20174792260, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:10:16:57 | I | Matching ok | SEQ : 20174792370, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:10:33:97 | I | Matching ok | SEQ : 20174792360, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:10:35:97 | I | Matching ok | SEQ : 20174792350, PART : N/A, SCAN N/A, CELL [1,3]
01:10:49:19 | I | Matching ok | SEQ : 20174792340, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:11:02:62 | I | Matching ok | SEQ : 20174792330, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:11:04:65 | I | Matching ok | SEQ : 20174792320, PART : N/A, SCAN N/A, CELL [1,6]
01:12:14:44 | I | Matching ok | SEQ : 20174792430, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
01:12:18:77 | I | Matching ok | SEQ : 20174792420, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
01:12:20:79 | I | Matching ok | SEQ : 20174792410, PART : N/A, SCAN N/A, CELL [2,3]
01:12:32:77 | I | Matching ok | SEQ : 20174792400, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:12:39:79 | I | Matching ok | SEQ : 20174792390, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
01:12:41:82 | I | Matching ok | SEQ : 20174792380, PART : N/A, SCAN N/A, CELL [2,6]
01:22:57:24 | I | Matching ok | SEQ : 20174792490, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:23:05:34 | I | Matching ok | SEQ : 20174792480, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:23:14:93 | I | Matching ok | SEQ : 20174792470, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
01:23:16:95 | I | Matching ok | SEQ : 20174792460, PART : N/A, SCAN N/A, CELL [1,4]
01:23:25:24 | I | Matching ok | SEQ : 20174792450, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:23:34:19 | I | Matching ok | SEQ : 20174792440, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:23:41:74 | I | Matching ok | SEQ : 20174792550, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
01:23:48:04 | I | Matching ok | SEQ : 20174792540, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:23:50:05 | I | Matching ok | SEQ : 20174792530, PART : N/A, SCAN N/A, CELL [2,3]
01:23:52:09 | I | Matching ok | SEQ : 20174792520, PART : N/A, SCAN N/A, CELL [2,4]
01:23:57:69 | I | Matching ok | SEQ : 20174792510, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
01:24:05:49 | I | Matching ok | SEQ : 20174792500, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:33:46:12 | I | Matching ok | SEQ : 20174792610, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:33:49:80 | I | Matching ok | SEQ : 20174792600, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:34:06:15 | I | Matching ok | SEQ : 20174792590, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
01:34:15:53 | I | Matching ok | SEQ : 20174792580, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:34:20:88 | I | Matching ok | SEQ : 20174792570, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:34:22:88 | I | Matching ok | SEQ : 20174792560, PART : N/A, SCAN N/A, CELL [1,6]
01:34:24:91 | I | Matching ok | SEQ : 20174792670, PART : N/A, SCAN N/A, CELL [2,1]
01:34:29:85 | I | Matching ok | SEQ : 20174792660, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:34:40:68 | I | Matching ok | SEQ : 20174792650, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
01:34:42:70 | I | Matching ok | SEQ : 20174792640, PART : N/A, SCAN N/A, CELL [2,4]
01:34:44:71 | I | Matching ok | SEQ : 20174792630, PART : N/A, SCAN N/A, CELL [2,5]
01:34:54:83 | I | Matching ok | SEQ : 20174792620, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:46:45:02 | I | Matching ok | SEQ : 20174792730, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:46:47:04 | I | Matching ok | SEQ : 20174792720, PART : N/A, SCAN N/A, CELL [1,2]
01:46:50:60 | I | Matching ok | SEQ : 20174792710, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
01:47:08:07 | I | Matching ok | SEQ : 20174792700, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
01:47:10:10 | I | Matching ok | SEQ : 20174792690, PART : N/A, SCAN N/A, CELL [1,5]
01:47:14:72 | I | Matching ok | SEQ : 20174792680, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:47:26:19 | I | Matching ok | SEQ : 20174792790, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
01:47:53:50 | I | Matching ok | SEQ : 20174792780, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:47:55:51 | I | Matching ok | SEQ : 20174792770, PART : N/A, SCAN N/A, CELL [2,3]
01:48:04:55 | I | Matching ok | SEQ : 20174792760, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:48:11:80 | I | Matching ok | SEQ : 20174792750, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
01:48:21:22 | I | Matching ok | SEQ : 20174792740, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:58:53:14 | I | Matching ok | SEQ : 20174792850, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:59:06:36 | I | Matching ok | SEQ : 20174792840, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:59:17:19 | I | Matching ok | SEQ : 20174792830, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:59:34:94 | I | Matching ok | SEQ : 20174792820, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:59:46:34 | I | Matching ok | SEQ : 20174792810, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
02:00:03:64 | I | Matching ok | SEQ : 20174792800, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
02:00:23:16 | I | Matching ok | SEQ : 20174792910, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
02:00:42:26 | I | Matching ok | SEQ : 20174792900, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
02:00:47:41 | I | Matching ok | SEQ : 20174792890, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
02:01:02:81 | I | Matching ok | SEQ : 20174792880, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
02:01:19:69 | I | Matching ok | SEQ : 20174792870, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
02:01:21:70 | I | Matching ok | SEQ : 20174792860, PART : N/A, SCAN N/A, CELL [2,6]
02:10:54:85 | I | Matching ok | SEQ : 20174792970, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
02:11:06:70 | I | Matching ok | SEQ : 20174792960, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
02:11:14:50 | I | Matching ok | SEQ : 20174792950, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
02:11:26:96 | I | Matching ok | SEQ : 20174792940, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
02:11:33:85 | I | Matching ok | SEQ : 20174792930, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
02:11:45:65 | I | Matching ok | SEQ : 20174792920, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
02:11:53:71 | I | Matching ok | SEQ : 20174793030, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:12:09:43 | I | Matching ok | SEQ : 20174793020, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
02:12:13:43 | I | Matching ok | SEQ : 20174793010, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
02:12:27:16 | I | Matching ok | SEQ : 20174793000, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
02:12:33:00 | I | Matching ok | SEQ : 20174792990, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
02:13:41:21 | I | Matching ok | SEQ : 20174792980, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
02:23:48:62 | I | Matching ok | SEQ : 20174793090, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
02:23:50:68 | I | Matching ok | SEQ : 20174793080, PART : N/A, SCAN N/A, CELL [1,2]
02:24:02:60 | I | Matching ok | SEQ : 20174793070, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:24:17:57 | I | Matching ok | SEQ : 20174793060, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
02:24:29:17 | I | Matching ok | SEQ : 20174793050, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
02:24:31:19 | I | Matching ok | SEQ : 20174793040, PART : N/A, SCAN N/A, CELL [1,6]
02:24:33:22 | I | Matching ok | SEQ : 20174793150, PART : N/A, SCAN N/A, CELL [2,1]
02:24:45:63 | W | Mismatching | SEQ : 20174793140, PART : 04578885AC, SCAN TQ42017C0933, CELL [2,2]
02:24:57:80 | I | Matching ok | SEQ : 20174793140, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
02:25:09:08 | I | Matching ok | SEQ : 20174793130, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
02:25:11:09 | I | Matching ok | SEQ : 20174793120, PART : N/A, SCAN N/A, CELL [2,4]
02:25:20:05 | I | Matching ok | SEQ : 20174793110, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
02:25:30:27 | I | Matching ok | SEQ : 20174793100, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
02:43:56:75 | I | Matching ok | SEQ : 20174793210, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
02:44:11:68 | I | Matching ok | SEQ : 20174793200, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
02:44:17:55 | I | Matching ok | SEQ : 20174793190, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
02:44:31:90 | I | Matching ok | SEQ : 20174793180, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
02:44:47:75 | I | Matching ok | SEQ : 20174793170, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
02:45:52:45 | I | Matching ok | SEQ : 20174793160, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
02:45:56:06 | I | Matching ok | SEQ : 20174793270, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
02:46:07:13 | I | Matching ok | SEQ : 20174793260, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
02:46:09:15 | I | Matching ok | SEQ : 20174793250, PART : N/A, SCAN N/A, CELL [2,3]
02:46:18:78 | I | Matching ok | SEQ : 20174793240, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
02:46:29:28 | I | Matching ok | SEQ : 20174793230, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
02:46:36:48 | I | Matching ok | SEQ : 20174793220, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
02:58:11:60 | I | Matching ok | SEQ : 20174793330, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
02:58:13:62 | I | Matching ok | SEQ : 20174793320, PART : N/A, SCAN N/A, CELL [1,2]
02:58:24:15 | I | Matching ok | SEQ : 20174793310, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:58:26:16 | I | Matching ok | SEQ : 20174793300, PART : N/A, SCAN N/A, CELL [1,4]
02:58:41:85 | I | Matching ok | SEQ : 20174793290, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
02:58:47:22 | I | Matching ok | SEQ : 20174793280, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
02:58:49:25 | I | Matching ok | SEQ : 20174793390, PART : N/A, SCAN N/A, CELL [2,1]
02:59:12:05 | I | Matching ok | SEQ : 20174793380, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
02:59:16:68 | I | Matching ok | SEQ : 20174793370, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
03:00:43:68 | I | Matching ok | SEQ : 20174793360, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
03:00:47:42 | I | Matching ok | SEQ : 20174793350, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
03:00:50:00 | I | Matching ok | SEQ : 20174793340, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:14:33:94 | I | Matching ok | SEQ : 20174793450, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
03:14:35:97 | I | Matching ok | SEQ : 20174793440, PART : N/A, SCAN N/A, CELL [1,2]
03:14:51:69 | I | Matching ok | SEQ : 20174793430, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:14:58:44 | I | Matching ok | SEQ : 20174793420, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:15:07:04 | I | Matching ok | SEQ : 20174793410, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
03:15:14:10 | I | Matching ok | SEQ : 20174793400, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
03:15:16:11 | I | Matching ok | SEQ : 20174793510, PART : N/A, SCAN N/A, CELL [2,1]
03:15:23:20 | I | Matching ok | SEQ : 20174793500, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:15:33:40 | I | Matching ok | SEQ : 20174793490, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
03:15:37:45 | I | Matching ok | SEQ : 20174793480, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
03:15:39:48 | I | Matching ok | SEQ : 20174793470, PART : N/A, SCAN N/A, CELL [2,5]
03:15:45:80 | I | Matching ok | SEQ : 20174793460, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:25:20:43 | I | Matching ok | SEQ : 20174793570, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
03:25:22:93 | I | Matching ok | SEQ : 20174793560, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
03:25:44:54 | I | Matching ok | SEQ : 20174793550, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
03:26:11:94 | I | Matching ok | SEQ : 20174793540, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:26:33:91 | I | Matching ok | SEQ : 20174793530, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
03:26:35:93 | I | Matching ok | SEQ : 20174793520, PART : N/A, SCAN N/A, CELL [1,6]
03:26:45:89 | I | Matching ok | SEQ : 20174793630, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
03:27:00:24 | I | Matching ok | SEQ : 20174793620, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
03:27:02:25 | I | Matching ok | SEQ : 20174793610, PART : N/A, SCAN N/A, CELL [2,3]
03:27:36:76 | I | Matching ok | SEQ : 20174793600, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
03:27:40:16 | I | Matching ok | SEQ : 20174793590, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
03:27:43:19 | I | Matching ok | SEQ : 20174793580, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:27:45:29 | I | Matching ok | SEQ : 20174793690, PART : N/A, SCAN N/A, CELL [1,1]
03:27:47:30 | I | Matching ok | SEQ : 20174793680, PART : N/A, SCAN N/A, CELL [1,2]
03:36:15:65 | I | Matching ok | SEQ : 20174793670, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
03:36:18:10 | I | Matching ok | SEQ : 20174793660, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
03:36:20:14 | I | Matching ok | SEQ : 20174793650, PART : N/A, SCAN N/A, CELL [1,5]
03:36:22:15 | I | Matching ok | SEQ : 20174793640, PART : N/A, SCAN N/A, CELL [1,6]
03:36:28:63 | I | Matching ok | SEQ : 20174793750, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
03:36:32:00 | I | Matching ok | SEQ : 20174793740, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
03:36:38:43 | I | Matching ok | SEQ : 20174793730, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:36:53:03 | I | Matching ok | SEQ : 20174793720, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
03:36:55:04 | I | Matching ok | SEQ : 20174793710, PART : N/A, SCAN N/A, CELL [2,5]
03:37:00:88 | I | Matching ok | SEQ : 20174793700, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
03:38:05:33 | W | Mismatching | SEQ : 20174793810, PART : 52124713AD, SCAN P52124712AD, CELL [1,1]
05:24:50:29 | I | Matching ok | SEQ : 20174793810, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
05:24:56:46 | I | Matching ok | SEQ : 20174793800, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
05:25:03:01 | I | Matching ok | SEQ : 20174793790, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
05:25:09:91 | I | Matching ok | SEQ : 20174793780, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
05:25:14:19 | I | Matching ok | SEQ : 20174793770, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
05:25:16:21 | I | Matching ok | SEQ : 20174793760, PART : N/A, SCAN N/A, CELL [1,6]
05:25:19:41 | I | Matching ok | SEQ : 20174793870, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:25:23:03 | I | Matching ok | SEQ : 20174793860, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
05:25:27:26 | W | Mismatching | SEQ : 20174793850, PART : 52124713AD, SCAN TQ41937C0608, CELL [2,3]
05:25:44:61 | I | Matching ok | SEQ : 20174793850, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
05:25:47:88 | I | Matching ok | SEQ : 20174793840, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
05:25:49:91 | I | Matching ok | SEQ : 20174793830, PART : N/A, SCAN N/A, CELL [2,5]
05:25:54:71 | W | Mismatching | SEQ : 20174793820, PART : 04578885AC, SCAN TQ41977C0489, CELL [2,6]
05:26:01:76 | W | Mismatching | SEQ : 20174793820, PART : 04578885AC, SCAN TQ41937C0608, CELL [2,6]
05:26:05:44 | W | Mismatching | SEQ : 20174793820, PART : 04578885AC, SCAN TQ41977C0489, CELL [2,6]
05:26:09:56 | W | Mismatching | SEQ : 20174793820, PART : 04578885AC, SCAN TQ42017C0939, CELL [2,6]
05:26:30:86 | I | Matching ok | SEQ : 20174793820, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
05:26:32:94 | I | Matching ok | SEQ : 20174793930, PART : N/A, SCAN N/A, CELL [1,1]
05:26:34:96 | I | Matching ok | SEQ : 20174793920, PART : N/A, SCAN N/A, CELL [1,2]
05:34:03:39 | I | Matching ok | SEQ : 20174793910, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
05:34:16:47 | I | Matching ok | SEQ : 20174793900, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
05:34:18:48 | I | Matching ok | SEQ : 20174793890, PART : N/A, SCAN N/A, CELL [1,5]
05:34:22:47 | I | Matching ok | SEQ : 20174793880, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
05:34:26:62 | I | Matching ok | SEQ : 20174793990, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:34:30:32 | I | Matching ok | SEQ : 20174793980, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
05:34:33:70 | I | Matching ok | SEQ : 20174793970, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
05:34:37:12 | I | Matching ok | SEQ : 20174793960, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
05:34:40:25 | I | Matching ok | SEQ : 20174793950, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
05:34:43:65 | I | Matching ok | SEQ : 20174793940, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
05:34:45:72 | I | Matching ok | SEQ : 20174794050, PART : N/A, SCAN N/A, CELL [1,1]
05:42:17:58 | I | Matching ok | SEQ : 20174794040, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
05:42:19:61 | I | Matching ok | SEQ : 20174794030, PART : N/A, SCAN N/A, CELL [1,3]
05:42:25:11 | I | Matching ok | SEQ : 20174794020, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
05:42:27:12 | I | Matching ok | SEQ : 20174794010, PART : N/A, SCAN N/A, CELL [1,5]
05:42:30:88 | I | Matching ok | SEQ : 20174794000, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
05:44:05:16 | I | Matching ok | SEQ : 20174794110, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:44:11:88 | I | Matching ok | SEQ : 20174794100, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
05:44:13:92 | I | Matching ok | SEQ : 20174794090, PART : N/A, SCAN N/A, CELL [2,3]
05:44:57:21 | I | Matching ok | SEQ : 20174794080, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
05:44:59:24 | I | Matching ok | SEQ : 20174794070, PART : N/A, SCAN N/A, CELL [2,5]
05:45:08:94 | I | Matching ok | SEQ : 20174794060, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
05:45:11:02 | I | Matching ok | SEQ : 20174794170, PART : N/A, SCAN N/A, CELL [1,1]
05:57:03:35 | I | Matching ok | SEQ : 20174794160, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
05:57:07:78 | I | Matching ok | SEQ : 20174794150, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
05:57:09:81 | I | Matching ok | SEQ : 20174794140, PART : N/A, SCAN N/A, CELL [1,4]
05:57:16:90 | W | Mismatching | SEQ : 20174794130, PART : 52124713AD, SCAN P04578885AC, CELL [1,5]
05:57:29:13 | I | Matching ok | SEQ : 20174794130, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
05:57:32:80 | I | Matching ok | SEQ : 20174794120, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
05:57:37:28 | I | Matching ok | SEQ : 20174794230, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
