00:00:04:15 | I | Matching ok | SEQ : 20174634880, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:40:23:73 | I | Matching ok | SEQ : 20174635300, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:52:46:72 | I | Matching ok | SEQ : 20174635410, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
00:52:48:75 | I | Matching ok | SEQ : 20174635400, PART : N/A, SCAN N/A, CELL [1,2]
00:52:50:76 | I | Matching ok | SEQ : 20174635390, PART : N/A, SCAN N/A, CELL [1,3]
00:52:53:10 | I | Matching ok | SEQ : 20174635380, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:52:55:10 | I | Matching ok | SEQ : 20174635370, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:52:56:32 | I | Matching ok | SEQ : 20174635360, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:52:57:43 | I | Matching ok | SEQ : 20174635470, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:52:59:25 | W | Mismatching | SEQ : 20174635460, PART : 52124713AD, SCAN P04578885AC, CELL [2,2]
00:53:15:15 | I | Matching ok | SEQ : 20174635460, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:53:16:70 | I | Matching ok | SEQ : 20174635450, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:53:18:45 | I | Matching ok | SEQ : 20174635440, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:53:36:90 | I | Matching ok | SEQ : 20174635430, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
00:53:40:25 | I | Matching ok | SEQ : 20174635420, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:04:00:51 | I | Matching ok | SEQ : 20174635530, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:04:13:69 | I | Matching ok | SEQ : 20174635520, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:04:27:14 | I | Matching ok | SEQ : 20174635510, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
01:04:38:46 | I | Matching ok | SEQ : 20174635500, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
01:04:50:41 | I | Matching ok | SEQ : 20174635490, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
01:05:03:09 | I | Matching ok | SEQ : 20174635480, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:05:15:56 | I | Matching ok | SEQ : 20174635590, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
01:05:17:57 | I | Matching ok | SEQ : 20174635580, PART : N/A, SCAN N/A, CELL [2,2]
01:05:19:58 | I | Matching ok | SEQ : 20174635570, PART : N/A, SCAN N/A, CELL [2,3]
01:05:28:91 | I | Matching ok | SEQ : 20174635560, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:05:40:72 | I | Matching ok | SEQ : 20174635550, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
01:05:52:87 | I | Matching ok | SEQ : 20174635540, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:15:11:78 | I | Matching ok | SEQ : 20174635650, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:15:24:53 | I | Matching ok | SEQ : 20174635640, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:15:40:35 | I | Matching ok | SEQ : 20174635630, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
01:15:42:37 | I | Matching ok | SEQ : 20174635620, PART : N/A, SCAN N/A, CELL [1,4]
01:15:55:18 | I | Matching ok | SEQ : 20174635610, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:16:30:18 | I | Matching ok | SEQ : 20174635600, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:16:34:18 | I | Matching ok | SEQ : 20174635710, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:16:39:09 | I | Matching ok | SEQ : 20174635700, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
01:16:44:23 | W | Mismatching | SEQ : 20174635690, PART : 68193661AB, SCAN P04578885AC, CELL [2,3]
01:17:11:23 | I | Matching ok | SEQ : 20174635690, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
01:17:22:81 | I | Matching ok | SEQ : 20174635680, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
01:17:24:83 | I | Matching ok | SEQ : 20174635670, PART : N/A, SCAN N/A, CELL [2,5]
01:17:35:46 | I | Matching ok | SEQ : 20174635660, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:17:37:51 | I | Matching ok | SEQ : 20174635770, PART : N/A, SCAN N/A, CELL [1,1]
01:25:05:29 | I | Matching ok | SEQ : 20174635760, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
01:25:25:89 | I | Matching ok | SEQ : 20174635750, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
01:25:40:07 | I | Matching ok | SEQ : 20174635740, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:25:47:32 | I | Matching ok | SEQ : 20174635730, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:26:05:57 | I | Matching ok | SEQ : 20174635720, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:26:43:90 | I | Matching ok | SEQ : 20174635830, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
01:26:49:00 | I | Matching ok | SEQ : 20174635820, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:27:45:42 | I | Matching ok | SEQ : 20174635810, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:27:48:75 | I | Matching ok | SEQ : 20174635800, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
01:27:51:67 | I | Matching ok | SEQ : 20174635790, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
01:27:55:05 | I | Matching ok | SEQ : 20174635780, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:27:57:09 | I | Matching ok | SEQ : 20174635890, PART : N/A, SCAN N/A, CELL [1,1]
01:34:57:76 | I | Matching ok | SEQ : 20174635880, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
01:35:04:01 | I | Matching ok | SEQ : 20174635870, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
01:35:06:28 | I | Matching ok | SEQ : 20174635860, PART : N/A, SCAN N/A, CELL [1,4]
01:35:08:29 | I | Matching ok | SEQ : 20174635850, PART : N/A, SCAN N/A, CELL [1,5]
01:35:15:46 | I | Matching ok | SEQ : 20174635840, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:35:26:71 | I | Matching ok | SEQ : 20174635950, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:35:35:18 | I | Matching ok | SEQ : 20174635940, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:35:47:43 | I | Matching ok | SEQ : 20174635930, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
01:35:49:46 | I | Matching ok | SEQ : 20174635920, PART : N/A, SCAN N/A, CELL [2,4]
01:35:57:88 | I | Matching ok | SEQ : 20174635910, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
01:36:07:03 | I | Matching ok | SEQ : 20174635900, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:46:45:63 | I | Matching ok | SEQ : 20174636010, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:46:51:73 | I | Matching ok | SEQ : 20174636000, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:46:58:10 | I | Matching ok | SEQ : 20174635990, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
01:47:26:55 | I | Matching ok | SEQ : 20174635980, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
01:47:32:53 | I | Matching ok | SEQ : 20174635970, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:47:45:08 | I | Matching ok | SEQ : 20174635960, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:47:49:60 | I | Matching ok | SEQ : 20174636070, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:48:03:93 | I | Matching ok | SEQ : 20174636060, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
01:48:12:48 | I | Matching ok | SEQ : 20174636050, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
01:48:24:10 | I | Matching ok | SEQ : 20174636040, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
01:48:32:43 | I | Matching ok | SEQ : 20174636030, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
01:48:46:40 | I | Matching ok | SEQ : 20174636020, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:59:48:18 | I | Matching ok | SEQ : 20174636130, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:59:51:09 | I | Matching ok | SEQ : 20174636120, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:59:57:02 | I | Matching ok | SEQ : 20174636110, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
02:00:00:69 | I | Matching ok | SEQ : 20174636100, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
02:00:04:19 | I | Matching ok | SEQ : 20174636090, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
02:00:08:34 | I | Matching ok | SEQ : 20174636080, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:00:12:80 | I | Matching ok | SEQ : 20174636190, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:00:44:67 | I | Matching ok | SEQ : 20174636180, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
02:00:55:42 | I | Matching ok | SEQ : 20174636170, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
02:01:21:94 | I | Matching ok | SEQ : 20174636160, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
02:01:37:67 | I | Matching ok | SEQ : 20174636150, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
02:01:49:45 | I | Matching ok | SEQ : 20174636140, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
02:12:01:66 | I | Matching ok | SEQ : 20174636250, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
02:12:04:38 | I | Matching ok | SEQ : 20174636240, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
02:12:07:19 | I | Matching ok | SEQ : 20174636230, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:12:35:81 | I | Matching ok | SEQ : 20174636220, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
02:12:59:24 | I | Matching ok | SEQ : 20174636210, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
02:13:23:29 | I | Matching ok | SEQ : 20174636200, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:13:47:31 | I | Matching ok | SEQ : 20174636310, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
02:14:03:16 | I | Matching ok | SEQ : 20174636300, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
02:14:05:17 | I | Matching ok | SEQ : 20174636290, PART : N/A, SCAN N/A, CELL [2,3]
02:14:20:99 | I | Matching ok | SEQ : 20174636280, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
02:14:31:02 | I | Matching ok | SEQ : 20174636270, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
02:14:59:41 | I | Matching ok | SEQ : 20174636260, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
02:45:17:54 | W | Mismatching | SEQ : 20174636370, PART : 52124713AD, SCAN P52124712AD, CELL [1,1]
02:55:25:32 | I | Matching ok | SEQ : 20174636370, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
02:55:27:35 | I | Matching ok | SEQ : 20174636360, PART : N/A, SCAN N/A, CELL [1,2]
02:55:30:40 | I | Matching ok | SEQ : 20174636350, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
02:55:38:17 | I | Matching ok | SEQ : 20174636340, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
02:55:46:47 | I | Matching ok | SEQ : 20174636330, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
02:56:00:60 | I | Matching ok | SEQ : 20174636320, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
02:56:11:97 | I | Matching ok | SEQ : 20174636430, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:56:23:77 | I | Matching ok | SEQ : 20174636420, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
02:56:25:80 | I | Matching ok | SEQ : 20174636410, PART : N/A, SCAN N/A, CELL [2,3]
02:56:27:84 | I | Matching ok | SEQ : 20174636400, PART : N/A, SCAN N/A, CELL [2,4]
02:56:48:50 | I | Matching ok | SEQ : 20174636390, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
02:57:01:47 | I | Matching ok | SEQ : 20174636380, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
03:06:48:07 | I | Matching ok | SEQ : 20174636490, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:06:50:41 | I | Matching ok | SEQ : 20174636480, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
03:07:05:11 | I | Matching ok | SEQ : 20174636470, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
03:07:11:64 | I | Matching ok | SEQ : 20174636460, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:07:23:69 | I | Matching ok | SEQ : 20174636450, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
03:07:44:54 | I | Matching ok | SEQ : 20174636440, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
03:08:17:32 | I | Matching ok | SEQ : 20174636550, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
03:08:30:62 | I | Matching ok | SEQ : 20174636540, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:08:48:64 | I | Matching ok | SEQ : 20174636530, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:09:07:47 | I | Matching ok | SEQ : 20174636520, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
03:09:25:22 | I | Matching ok | SEQ : 20174636510, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
03:09:46:97 | I | Matching ok | SEQ : 20174636500, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
03:15:21:35 | I | Matching ok | SEQ : 20174636610, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:15:24:33 | I | Matching ok | SEQ : 20174636600, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
03:15:28:40 | I | Matching ok | SEQ : 20174636590, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
03:15:39:73 | I | Matching ok | SEQ : 20174636580, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
03:15:55:58 | I | Matching ok | SEQ : 20174636570, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
03:16:03:16 | I | Matching ok | SEQ : 20174636560, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
03:16:12:35 | I | Matching ok | SEQ : 20174636670, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
03:16:24:86 | I | Matching ok | SEQ : 20174636660, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
03:16:33:18 | I | Matching ok | SEQ : 20174636650, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
03:16:42:85 | I | Matching ok | SEQ : 20174636640, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
03:16:50:59 | I | Matching ok | SEQ : 20174636630, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
03:17:00:91 | I | Matching ok | SEQ : 20174636620, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
03:28:35:19 | I | Matching ok | SEQ : 20174636730, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
03:28:38:07 | I | Matching ok | SEQ : 20174636720, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
03:28:51:45 | I | Matching ok | SEQ : 20174636710, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
03:29:03:67 | I | Matching ok | SEQ : 20174636700, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
03:29:05:69 | I | Matching ok | SEQ : 20174636690, PART : N/A, SCAN N/A, CELL [1,5]
03:29:11:92 | I | Matching ok | SEQ : 20174636680, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
03:29:18:60 | I | Matching ok | SEQ : 20174636790, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
03:29:27:35 | I | Matching ok | SEQ : 20174636780, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
03:29:37:52 | I | Matching ok | SEQ : 20174636770, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:29:45:90 | I | Matching ok | SEQ : 20174636760, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
03:29:47:92 | I | Matching ok | SEQ : 20174636750, PART : N/A, SCAN N/A, CELL [2,5]
03:30:30:12 | I | Matching ok | SEQ : 20174636740, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:40:10:79 | I | Matching ok | SEQ : 20174636850, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:40:12:81 | I | Matching ok | SEQ : 20174636840, PART : N/A, SCAN N/A, CELL [1,2]
03:40:38:24 | I | Matching ok | SEQ : 20174636830, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
03:40:40:25 | I | Matching ok | SEQ : 20174636820, PART : N/A, SCAN N/A, CELL [1,4]
03:40:42:26 | I | Matching ok | SEQ : 20174636810, PART : N/A, SCAN N/A, CELL [1,5]
03:40:52:59 | I | Matching ok | SEQ : 20174636800, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
03:40:54:60 | I | Matching ok | SEQ : 20174636910, PART : N/A, SCAN N/A, CELL [2,1]
03:41:17:56 | I | Matching ok | SEQ : 20174636900, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
03:41:35:56 | I | Matching ok | SEQ : 20174636890, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
03:41:41:86 | I | Matching ok | SEQ : 20174636880, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
03:41:51:94 | I | Matching ok | SEQ : 20174636870, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
03:42:06:44 | I | Matching ok | SEQ : 20174636860, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
03:52:59:80 | I | Matching ok | SEQ : 20174636970, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
03:53:10:53 | I | Matching ok | SEQ : 20174636960, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
03:53:17:73 | I | Matching ok | SEQ : 20174636950, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:53:24:58 | I | Matching ok | SEQ : 20174636940, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:53:34:78 | I | Matching ok | SEQ : 20174636930, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
03:53:45:93 | I | Matching ok | SEQ : 20174636920, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
03:53:56:46 | I | Matching ok | SEQ : 20174637030, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
03:54:09:21 | I | Matching ok | SEQ : 20174637020, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
03:55:07:41 | I | Matching ok | SEQ : 20174637010, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
03:55:25:11 | I | Matching ok | SEQ : 20174637000, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
03:55:27:12 | I | Matching ok | SEQ : 20174636990, PART : N/A, SCAN N/A, CELL [2,5]
03:55:34:38 | I | Matching ok | SEQ : 20174636980, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:55:36:46 | I | Matching ok | SEQ : 20174637090, PART : N/A, SCAN N/A, CELL [1,1]
04:05:50:65 | I | Matching ok | SEQ : 20174637080, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
04:05:53:22 | I | Matching ok | SEQ : 20174637070, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
04:06:08:22 | W | Mismatching | SEQ : 20174637060, PART : 52124713AD, SCAN P68193661AB, CELL [1,4]
04:06:22:25 | W | Mismatching | SEQ : 20174637060, PART : 52124713AD, SCAN P68193661AB, CELL [1,4]
04:06:47:22 | W | Mismatching | SEQ : 20174637060, PART : 52124713AD, SCAN P68193661AB, CELL [1,4]
04:07:18:37 | W | Mismatching | SEQ : 20174637060, PART : 52124713AD, SCAN P04578885AC, CELL [1,4]
04:07:29:25 | W | Mismatching | SEQ : 20174637060, PART : 52124713AD, SCAN P04578885AC, CELL [1,4]
04:07:34:30 | W | Mismatching | SEQ : 20174637060, PART : 52124713AD, SCAN TQ41817C0128, CELL [1,4]
04:07:39:38 | W | Mismatching | SEQ : 20174637060, PART : 52124713AD, SCAN P04578885AC, CELL [1,4]
04:08:09:50 | I | Matching ok | SEQ : 20174637060, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
04:08:11:54 | I | Matching ok | SEQ : 20174637050, PART : N/A, SCAN N/A, CELL [1,5]
04:08:15:13 | W | Mismatching | SEQ : 20174637040, PART : 68193661AB, SCAN TQ41827C1096, CELL [1,6]
04:08:38:36 | I | Matching ok | SEQ : 20174637040, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
04:08:48:43 | I | Matching ok | SEQ : 20174637150, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
04:08:55:63 | I | Matching ok | SEQ : 20174637140, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
04:09:15:53 | I | Matching ok | SEQ : 20174637130, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
04:09:20:88 | I | Matching ok | SEQ : 20174637120, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
04:09:25:13 | I | Matching ok | SEQ : 20174637110, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
04:09:27:15 | I | Matching ok | SEQ : 20174637100, PART : N/A, SCAN N/A, CELL [2,6]
04:16:20:84 | I | Matching ok | SEQ : 20174637210, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
04:16:25:69 | I | Matching ok | SEQ : 20174637200, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
04:16:29:54 | I | Matching ok | SEQ : 20174637190, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
04:16:33:26 | I | Matching ok | SEQ : 20174637180, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
04:16:35:28 | I | Matching ok | SEQ : 20174637170, PART : N/A, SCAN N/A, CELL [1,5]
04:16:37:29 | I | Matching ok | SEQ : 20174637160, PART : N/A, SCAN N/A, CELL [1,6]
04:16:39:32 | I | Matching ok | SEQ : 20174637270, PART : N/A, SCAN N/A, CELL [2,1]
