00:05:48:90 | W | Mismatching | SEQ : 20174734890, PART : 52124713AD, SCAN P52124712AD, CELL [1,1]
01:34:19:77 | I | Matching ok | SEQ : 20174735750, PART : N/A, SCAN N/A, CELL [2,5]
01:34:26:00 | I | Matching ok | SEQ : 20174735740, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:40:34:19 | I | Matching ok | SEQ : 20174735850, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:40:37:99 | I | Matching ok | SEQ : 20174735840, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:40:40:00 | I | Matching ok | SEQ : 20174735830, PART : N/A, SCAN N/A, CELL [1,3]
01:40:42:02 | I | Matching ok | SEQ : 20174735820, PART : N/A, SCAN N/A, CELL [1,4]
01:40:46:69 | I | Matching ok | SEQ : 20174735810, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:40:51:56 | I | Matching ok | SEQ : 20174735800, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:40:55:79 | I | Matching ok | SEQ : 20174735910, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:41:01:11 | I | Matching ok | SEQ : 20174735900, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:41:05:69 | I | Matching ok | SEQ : 20174735890, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:41:28:02 | I | Matching ok | SEQ : 20174735880, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:41:32:19 | I | Matching ok | SEQ : 20174735870, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
01:41:36:59 | I | Matching ok | SEQ : 20174735860, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:48:13:27 | I | Matching ok | SEQ : 20174735970, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:48:15:30 | I | Matching ok | SEQ : 20174735960, PART : N/A, SCAN N/A, CELL [1,2]
01:48:23:07 | I | Matching ok | SEQ : 20174735950, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:48:32:65 | I | Matching ok | SEQ : 20174735940, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
01:48:34:67 | I | Matching ok | SEQ : 20174735930, PART : N/A, SCAN N/A, CELL [1,5]
01:48:46:82 | I | Matching ok | SEQ : 20174735920, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:49:04:05 | I | Matching ok | SEQ : 20174736030, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
01:49:29:80 | I | Matching ok | SEQ : 20174736020, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:49:40:07 | I | Matching ok | SEQ : 20174736010, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:49:49:47 | I | Matching ok | SEQ : 20174736000, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
01:50:00:62 | I | Matching ok | SEQ : 20174735990, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
01:50:02:65 | I | Matching ok | SEQ : 20174735980, PART : N/A, SCAN N/A, CELL [2,6]
01:58:56:74 | I | Matching ok | SEQ : 20174736090, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:59:11:46 | I | Matching ok | SEQ : 20174736080, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:59:27:76 | I | Matching ok | SEQ : 20174736070, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:59:57:94 | I | Matching ok | SEQ : 20174736060, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
02:00:02:19 | I | Matching ok | SEQ : 20174736050, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
02:00:07:59 | I | Matching ok | SEQ : 20174736040, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:00:15:99 | I | Matching ok | SEQ : 20174736150, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:00:18:00 | I | Matching ok | SEQ : 20174736140, PART : N/A, SCAN N/A, CELL [2,2]
02:00:24:59 | I | Matching ok | SEQ : 20174736130, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
02:00:28:89 | I | Matching ok | SEQ : 20174736120, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
02:00:30:92 | I | Matching ok | SEQ : 20174736110, PART : N/A, SCAN N/A, CELL [2,5]
02:00:38:62 | I | Matching ok | SEQ : 20174736100, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
02:00:40:89 | I | Matching ok | SEQ : 20174736210, PART : N/A, SCAN N/A, CELL [1,1]
02:00:42:90 | I | Matching ok | SEQ : 20174736200, PART : N/A, SCAN N/A, CELL [1,2]
02:08:55:70 | I | Matching ok | SEQ : 20174736190, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:09:13:48 | I | Matching ok | SEQ : 20174736180, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
02:09:15:49 | I | Matching ok | SEQ : 20174736170, PART : N/A, SCAN N/A, CELL [1,5]
02:09:23:68 | I | Matching ok | SEQ : 20174736160, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:09:34:38 | I | Matching ok | SEQ : 20174736270, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:09:51:65 | I | Matching ok | SEQ : 20174736260, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
02:09:53:67 | I | Matching ok | SEQ : 20174736250, PART : N/A, SCAN N/A, CELL [2,3]
02:09:55:68 | I | Matching ok | SEQ : 20174736240, PART : N/A, SCAN N/A, CELL [2,4]
02:10:08:18 | I | Matching ok | SEQ : 20174736230, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
02:10:23:65 | I | Matching ok | SEQ : 20174736220, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
02:21:07:35 | I | Matching ok | SEQ : 20174736330, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
02:21:22:77 | I | Matching ok | SEQ : 20174736320, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
02:21:30:39 | I | Matching ok | SEQ : 20174736310, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
02:21:48:22 | I | Matching ok | SEQ : 20174736300, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
02:21:53:44 | I | Matching ok | SEQ : 20174736290, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
02:21:59:02 | I | Matching ok | SEQ : 20174736280, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
02:22:05:27 | I | Matching ok | SEQ : 20174736390, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
02:22:17:30 | I | Matching ok | SEQ : 20174736380, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
02:22:23:63 | I | Matching ok | SEQ : 20174736370, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
02:22:25:65 | I | Matching ok | SEQ : 20174736360, PART : N/A, SCAN N/A, CELL [2,4]
02:22:35:37 | I | Matching ok | SEQ : 20174736350, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
02:22:41:40 | I | Matching ok | SEQ : 20174736340, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
02:30:53:09 | I | Matching ok | SEQ : 20174736450, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
02:30:57:36 | I | Matching ok | SEQ : 20174736440, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
02:31:01:06 | I | Matching ok | SEQ : 20174736430, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:31:12:11 | I | Matching ok | SEQ : 20174736420, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
02:31:25:39 | I | Matching ok | SEQ : 20174736410, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
02:31:34:31 | I | Matching ok | SEQ : 20174736400, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
02:44:30:75 | I | Matching ok | SEQ : 20174736510, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
02:44:35:55 | I | Matching ok | SEQ : 20174736500, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
02:44:40:15 | I | Matching ok | SEQ : 20174736490, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
02:45:00:20 | I | Matching ok | SEQ : 20174736480, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
02:45:04:65 | I | Matching ok | SEQ : 20174736470, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
02:45:08:58 | I | Matching ok | SEQ : 20174736460, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
02:45:10:68 | I | Matching ok | SEQ : 20174736570, PART : N/A, SCAN N/A, CELL [1,1]
02:52:12:32 | I | Matching ok | SEQ : 20174736560, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
02:52:27:67 | I | Matching ok | SEQ : 20174736550, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
02:52:53:54 | I | Matching ok | SEQ : 20174736540, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
02:52:55:56 | I | Matching ok | SEQ : 20174736530, PART : N/A, SCAN N/A, CELL [1,5]
02:53:12:52 | I | Matching ok | SEQ : 20174736520, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
02:53:18:22 | I | Matching ok | SEQ : 20174736630, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
02:53:33:24 | I | Matching ok | SEQ : 20174736620, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
02:53:35:28 | I | Matching ok | SEQ : 20174736610, PART : N/A, SCAN N/A, CELL [2,3]
02:53:42:37 | I | Matching ok | SEQ : 20174736600, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
02:53:55:07 | I | Matching ok | SEQ : 20174736590, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
02:53:57:09 | I | Matching ok | SEQ : 20174736580, PART : N/A, SCAN N/A, CELL [2,6]
03:00:32:48 | I | Matching ok | SEQ : 20174736690, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:00:48:61 | I | Matching ok | SEQ : 20174736680, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
03:00:50:61 | I | Matching ok | SEQ : 20174736670, PART : N/A, SCAN N/A, CELL [1,3]
03:01:06:36 | W | Mismatching | SEQ : 20174736660, PART : 04578885AC, SCAN TQ41907C0567, CELL [1,4]
03:01:20:31 | I | Matching ok | SEQ : 20174736660, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:01:27:13 | I | Matching ok | SEQ : 20174736650, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
03:01:29:15 | I | Matching ok | SEQ : 20174736640, PART : N/A, SCAN N/A, CELL [1,6]
03:01:33:01 | I | Matching ok | SEQ : 20174736750, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
03:01:35:03 | I | Matching ok | SEQ : 20174736740, PART : N/A, SCAN N/A, CELL [2,2]
03:01:39:76 | I | Matching ok | SEQ : 20174736730, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:02:07:09 | I | Matching ok | SEQ : 20174736720, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
03:02:10:56 | I | Matching ok | SEQ : 20174736710, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
03:02:12:58 | I | Matching ok | SEQ : 20174736700, PART : N/A, SCAN N/A, CELL [2,6]
03:11:04:87 | I | Matching ok | SEQ : 20174736810, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:11:11:52 | I | Matching ok | SEQ : 20174736800, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
03:11:16:02 | I | Matching ok | SEQ : 20174736790, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
03:11:20:62 | I | Matching ok | SEQ : 20174736780, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
03:11:22:64 | I | Matching ok | SEQ : 20174736770, PART : N/A, SCAN N/A, CELL [1,5]
03:11:32:05 | I | Matching ok | SEQ : 20174736760, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
03:11:42:35 | I | Matching ok | SEQ : 20174736870, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
03:12:17:32 | I | Matching ok | SEQ : 20174736860, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
03:12:28:43 | I | Matching ok | SEQ : 20174736850, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
03:12:37:65 | I | Matching ok | SEQ : 20174736840, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
03:12:39:67 | I | Matching ok | SEQ : 20174736830, PART : N/A, SCAN N/A, CELL [2,5]
03:13:06:65 | I | Matching ok | SEQ : 20174736820, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:13:08:73 | I | Matching ok | SEQ : 20174736930, PART : N/A, SCAN N/A, CELL [1,1]
03:19:52:91 | I | Matching ok | SEQ : 20174736920, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
03:20:02:98 | I | Matching ok | SEQ : 20174736910, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:20:26:31 | I | Matching ok | SEQ : 20174736900, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:20:28:33 | I | Matching ok | SEQ : 20174736890, PART : N/A, SCAN N/A, CELL [1,5]
03:20:37:81 | I | Matching ok | SEQ : 20174736880, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
03:20:47:31 | I | Matching ok | SEQ : 20174736990, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
03:21:01:74 | I | Matching ok | SEQ : 20174736980, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
03:21:03:75 | I | Matching ok | SEQ : 20174736970, PART : N/A, SCAN N/A, CELL [2,3]
03:21:20:01 | I | Matching ok | SEQ : 20174736960, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
03:21:28:66 | I | Matching ok | SEQ : 20174736950, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
03:21:44:61 | I | Matching ok | SEQ : 20174736940, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:30:54:30 | I | Matching ok | SEQ : 20174737050, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
03:30:56:33 | I | Matching ok | SEQ : 20174737040, PART : N/A, SCAN N/A, CELL [1,2]
03:31:04:47 | I | Matching ok | SEQ : 20174737030, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:31:06:48 | I | Matching ok | SEQ : 20174737020, PART : N/A, SCAN N/A, CELL [1,4]
03:31:15:45 | I | Matching ok | SEQ : 20174737010, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
03:31:17:46 | I | Matching ok | SEQ : 20174737000, PART : N/A, SCAN N/A, CELL [1,6]
03:31:29:37 | I | Matching ok | SEQ : 20174737110, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
03:31:44:15 | I | Matching ok | SEQ : 20174737100, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
03:31:53:36 | I | Matching ok | SEQ : 20174737090, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
03:31:55:37 | I | Matching ok | SEQ : 20174737080, PART : N/A, SCAN N/A, CELL [2,4]
03:32:31:20 | I | Matching ok | SEQ : 20174737070, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
03:32:34:08 | I | Matching ok | SEQ : 20174737060, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:39:33:34 | I | Matching ok | SEQ : 20174737170, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
03:39:35:36 | I | Matching ok | SEQ : 20174737160, PART : N/A, SCAN N/A, CELL [1,2]
03:39:42:29 | I | Matching ok | SEQ : 20174737150, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:39:52:01 | I | Matching ok | SEQ : 20174737140, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:39:54:05 | I | Matching ok | SEQ : 20174737130, PART : N/A, SCAN N/A, CELL [1,5]
03:40:02:36 | I | Matching ok | SEQ : 20174737120, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
03:40:04:39 | I | Matching ok | SEQ : 20174737230, PART : N/A, SCAN N/A, CELL [2,1]
03:40:16:84 | I | Matching ok | SEQ : 20174737220, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
03:40:18:85 | I | Matching ok | SEQ : 20174737210, PART : N/A, SCAN N/A, CELL [2,3]
03:40:35:34 | I | Matching ok | SEQ : 20174737200, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
03:40:37:35 | I | Matching ok | SEQ : 20174737190, PART : N/A, SCAN N/A, CELL [2,5]
03:40:46:76 | I | Matching ok | SEQ : 20174737180, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
03:40:48:86 | I | Matching ok | SEQ : 20174737290, PART : N/A, SCAN N/A, CELL [1,1]
03:51:29:13 | I | Matching ok | SEQ : 20174737280, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
03:51:42:03 | I | Matching ok | SEQ : 20174737270, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
03:52:00:80 | I | Matching ok | SEQ : 20174737260, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
03:55:07:78 | I | Matching ok | SEQ : 20174737250, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
